ID,alive,nBack_1_AVE,nBack_1_LIST,nBack_2_AVE,nBack_2_LIST,nBack_3_AVE,nBack_3_LIST,nBack_4_AVE,nBack_4_LIST,optimizeValue,score_AVE,score_LIST,timeOfBirth,tournament_numOffspring,wireCount_AVE,wireCount_LIST,wireCountActive_AVE,wireCountActive_LIST,snapshotAncestors_LIST,update
4400001,1,0.456000,"0.456000",0.444000,"0.444000",0.460000,"0.460000",0.444000,"0.444000",0.451000,0.451000,"0.451000",43999,0,153.000000,"153",135.000000,"135","4300014",44000
4400002,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",43999,4,158.000000,"158",84.000000,"84","4300014",44000
4400003,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",43999,4,164.000000,"164",95.000000,"95","4300014",44000
4400004,1,0.848000,"0.848000",0.856000,"0.856000",0.860000,"0.860000",0.744000,"0.744000",0.827000,0.827000,"0.827000",43999,0,156.000000,"156",119.000000,"119","4300014",44000
4400005,1,0.464000,"0.464000",0.480000,"0.480000",0.484000,"0.484000",0.484000,"0.484000",0.478000,0.478000,"0.478000",43999,0,152.000000,"152",89.000000,"89","4300014",44000
4400006,1,0.516000,"0.516000",0.512000,"0.512000",0.508000,"0.508000",0.500000,"0.500000",0.509000,0.509000,"0.509000",43999,0,159.000000,"159",78.000000,"78","4300014",44000
4400007,1,0.500000,"0.500000",0.540000,"0.540000",0.520000,"0.520000",0.480000,"0.480000",0.510000,0.510000,"0.510000",43999,0,155.000000,"155",123.000000,"123","4300014",44000
4400008,1,0.548000,"0.548000",0.556000,"0.556000",0.544000,"0.544000",0.552000,"0.552000",0.550000,0.550000,"0.550000",43999,0,161.000000,"161",153.000000,"153","4300014",44000
4400009,1,0.528000,"0.528000",0.528000,"0.528000",0.532000,"0.532000",0.536000,"0.536000",0.531000,0.531000,"0.531000",43999,0,155.000000,"155",111.000000,"111","4300014",44000
4400010,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",43999,12,147.000000,"147",105.000000,"105","4300014",44000
4400011,1,0.468000,"0.468000",0.472000,"0.472000",0.516000,"0.516000",0.496000,"0.496000",0.488000,0.488000,"0.488000",43999,0,155.000000,"155",130.000000,"130","4300014",44000
4400012,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",43999,8,167.000000,"167",94.000000,"94","4300014",44000
4400013,1,0.440000,"0.440000",0.540000,"0.540000",0.504000,"0.504000",0.544000,"0.544000",0.507000,0.507000,"0.507000",43999,0,163.000000,"163",145.000000,"145","4300014",44000
4400014,1,1.000000,"1.000000",0.436000,"0.436000",1.000000,"1.000000",1.000000,"1.000000",0.859000,0.859000,"0.859000",43999,0,162.000000,"162",97.000000,"97","4300014",44000
