ID,alive,nBack_1_AVE,nBack_1_LIST,nBack_2_AVE,nBack_2_LIST,nBack_3_AVE,nBack_3_LIST,nBack_4_AVE,nBack_4_LIST,optimizeValue,score_AVE,score_LIST,timeOfBirth,tournament_numOffspring,wireCount_AVE,wireCount_LIST,wireCountActive_AVE,wireCountActive_LIST,snapshotAncestors_LIST,update
4500001,1,0.508000,"0.508000",0.492000,"0.492000",0.504000,"0.504000",0.488000,"0.488000",0.498000,0.498000,"0.498000",44999,0,159.000000,"159",141.000000,"141","4400053",45000
4500002,1,0.496000,"0.496000",0.500000,"0.500000",0.508000,"0.508000",0.516000,"0.516000",0.505000,0.505000,"0.505000",44999,0,143.000000,"143",120.000000,"120","4400053",45000
4500003,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",44999,9,153.000000,"153",139.000000,"139","4400053",45000
4500004,1,0.472000,"0.472000",0.464000,"0.464000",0.468000,"0.468000",0.476000,"0.476000",0.470000,0.470000,"0.470000",44999,0,145.000000,"145",101.000000,"101","4400053",45000
4500005,1,0.496000,"0.496000",0.516000,"0.516000",0.524000,"0.524000",0.456000,"0.456000",0.498000,0.498000,"0.498000",44999,0,144.000000,"144",124.000000,"124","4400053",45000
4500006,1,0.448000,"0.448000",0.452000,"0.452000",0.444000,"0.444000",0.456000,"0.456000",0.450000,0.450000,"0.450000",44999,0,150.000000,"150",136.000000,"136","4400053",45000
4500007,1,0.520000,"0.520000",0.516000,"0.516000",0.524000,"0.524000",0.516000,"0.516000",0.519000,0.519000,"0.519000",44999,0,152.000000,"152",121.000000,"121","4400053",45000
4500008,1,0.508000,"0.508000",0.492000,"0.492000",0.512000,"0.512000",0.520000,"0.520000",0.508000,0.508000,"0.508000",44999,0,154.000000,"154",120.000000,"120","4400053",45000
4500009,1,0.512000,"0.512000",0.508000,"0.508000",0.504000,"0.504000",0.504000,"0.504000",0.507000,0.507000,"0.507000",44999,0,152.000000,"152",97.000000,"97","4400053",45000
4500010,1,0.520000,"0.520000",0.504000,"0.504000",0.480000,"0.480000",0.480000,"0.480000",0.496000,0.496000,"0.496000",44999,0,148.000000,"148",114.000000,"114","4400053",45000
4500011,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",44999,12,152.000000,"152",136.000000,"136","4400053",45000
4500012,1,0.556000,"0.556000",0.444000,"0.444000",0.428000,"0.428000",0.428000,"0.428000",0.464000,0.464000,"0.464000",44999,0,159.000000,"159",135.000000,"135","4400053",45000
