BRAIN_root::brainData,ID
"0000011111000001111000101010011000110001000001000001001011000011100000000000101101000000000100010000100001000000000000000100100001011010000000010100010000000001000000000110000000010001000000110100010010110100000000000011000000001110000000000010000110010101010001100000100000010010000000111101000000000010000000010000100000000100010000110010001000000000000000010000000001000000000000000000000000000000000100100101000000000000010000011000001000000001000000100000000000011100000010000011000000000011100101000000000000000000101100000000000000000000000001010000011000000001000000000000010001001000010100000000100000011000000001110001100000000000000000000000100000000100000100000100000000100000001001000000001000001100000000000000000011000010100000001100000001000000000000001000000100000000000100001000000000000000000100000000000000000000110001000000001000000000000010000000000000100000000000000000000000000000000101000011000000010000000000000010000110000010001001100000100001000100010000100000101101000010|35^16^91^9|969^944",900001
"0000011101000001111000001010000010110001000100000110101000000000000000100100000000000001000100000000100001000000000000000000100001100010000000010100010000000000000000000110000000010011000000010100000000010000000000000010000000001100000000000010000010011001000000000000100000010000000001001101000100000010000000010110100100001000010000100011001000000000000000000000000001100001110000000000000000001000000000100100000000000000010000011000000000000000000000000000000000001001000011000001101001010111000101000000000000000010001000000100000000000000000000010101000000000001000000010000000010001000000100000000000000001000000001010001010000000000000000000000000100010000000000100100000000000000000000000000001000000010010000000000100010100010000000000100010001000000000000001000000000010001000000100000000000000100100100000100000000000101011000000000001001000000000000000000000000100000001100000001000001100010000101000100000000000000000000001000000010100000001001100100000101000000110000100000001011000010|35^16^91^9|969^944",900002
"0000011101000001111001001010010000110001000101000100001010000011100000000000100101000000000101000000000000000000000000000100100001001010000000110000010000001001000000000111000000010001000000110100000000000100000000000011000000001110000000000010000010000001000000000000100000000000000000100101000000001110001000010100100000000000010000010010001000000000100000001000000000100001000000000000010000010000000000000001000100000000000101010000000010000000100000100000000000010100000001000001000101000011000100000000000000000000001100000000000000000000000100010100011000000000100010010000000011000000000000000000000000001000000000010001010000000000010000000000001000000000000000000000000010000010000001001000001000001010000000001000000101010010000000001100000100010000000000001000010000001000000000001001000000000100100000001100000000000000001000101000001000000000000000000000000000010000000100000000000000100000000100000000000000000000001000001000001110100010001001100010000001010110010000101000000101000000|35^16^91^9|969^944",900003
"0000001101001001111010001010010010110001000101000110101000000000001000100000100101000001000010000000100001000000010000000000100001101010000000010100010000000000000000000110000000110010000000010100000000010000000000000010000000001100000000000010000010010001000000000000100000010000000001001101000000000010001000010100100100001000010000100010001000000000000000000000000001000001110000000000001000001000000000100000000000000000010000011000000000000000000000000000000000011000000011000101101001000111000101001000000000000010001100000100000000000000000000010100001000000001000000010000000010101000000100000000000000000000000001010001010010000000000000000000000100010000000000100100000000000000001000000010000000000010010000000000100010100010000000001100010001000000000000001000000000000000100000100000000000000000100100000000000000100001011000000000001000000000000000000000000010100000011100000001000001000010010101000000000000000001000000001010000010100000000011100000000001000010010000100000101001000010|35^16^76^9|969^944",900004
"0000011101000001111000001010010010110001000100000110101000000000001000100000000000000001000100000000100001000000000000000000100001100010000000010100010000000000000000000110000000010011000000010100000000010000000000000010000000001100000000000010000010011001000000000000100100010000000001001001000000000010001000010100100100001000010000100011011000000000000000000000000001100001110000000000000000001000000000100100000000000000010000011000000000000000000000000000000000001001000011000001101001010111000101000000000000000010001100000100000000000000000000010101000000000001000000010000000010001100000100000000000000001000000001010001010000000000000000000000000100010000000000100100000000100000000000000010001000000010000000000000100010100010000000001100010001000000000000001000000000000001000000100000000000000100100100000100000000000101011000000000001001000000000000000000000000100000001100000001000001100010000101000100000000000100000000001000000010100000001001100000001001000000110000100000001011000010|35^16^91^9|969^944",900005
"0000011101000001111001001010010000110001000101000100001010000011100000000001100001000000000101000000000000000000000000000000100001001010000000010000010000001001000000000011010000010001000000110100000000000100000000000011000000001110000000000010000010000001000000000000100000000000000000100101000000001110001000010100100000000000010000010010001000000000100000001000000000100001000000000000010000010000000000000001000000000000000101010000000000000000100000100000000000010100000001000001000101000011000100000000000000000000001100000000000000000000000100000100011000000000000010010000000011000000000100000000000000001000000010010001010000000000010000000000001000000000000000000000000010000010000001001000001000001010000000001000000101010010000000001000000100010000000000001000010000000000000000001001000000000100100000001100000000000000001000101000001000000000000000000000000000010000000100000000000000100000000100010000001000000000000000001000001110100010001001100000000001010110010000101000000101000000|35^16^91^9|969^944",900006
"0000011101000001111001001010010000110001000101000100001010000011100000110000100001000000000101000000100000000000000000000100100001001010000000010000010000001011000000000111000000000001000000110110000000000100000000000011000000001110000000000010000010000001000000000000100000000000000000100101000001001110001000010100100000000000010000010010001000000000100000001000000001000100010000000000010000011000000000000001000000000000000101010000000000000000100000100000000000010100000001000001000001000001000100000000000000000000001100000000000000000000000000100100111000000001100010000000000001000000100101000000000000001000001001010001010000000000010000001000001000000000000000000000000000000010000001001000001000000000000000000000000101100010000000001100000100000000000000001000000000000000000000001001000000000100100000000000000000000000001000101000001000000000000000000000000000010000001100000100000000100000000100000000000000000000001000001000000110010010001001100000000000010110010000101000000101000000|35^16^91^9|947^944",900007
"0000011101000001111000001010010010110001000101000000001010000000100000000001100101010000001100000000000001000000000000000100100001001010000000010000110000000001000000000110000000000001000000010100000011010100000000000010000000001100000000000010000010010000000000100000100000010000000000110101010000000010001010001100000000000000010000110010111000000000000000000001000001000000100000000000000000000000000000000100000000000010010000011000000000000000100000101000000000001000000011001001000101001011010001000000000000000000000101000000000000000000000001000100000000000001101010000000000011001000000000000000000000001000000001010001000000000000000000000000000000000000000000000001000010000000001001100000000001011000000000000000000111100010000000000100000000000000010000000000010000010010000001101000000000001100100100000000100000000000010000000000001000000000000000000000000000110000001000000010000000111000000001001001000000000000110000000000000110100001000001100100000011000110010100100000001101000010|35^16^91^9|969^944",900008
"0000011101000001111000001010010010110001000101000000001010000000100000000001100101000000001100000000000001000000000000000100100001001010000000010000000000000001000000000100000000000001000000010100000001010100000000000010000000001100000000000010000110010000000000100000100000010000000000110101110000000010001010001100000000000000010000110010011000000000000010000001000001000000100000000000000000000000000000000100000000000010010000011000000000000000100000101000000000001000000011001001001101001011000001000000000000000000000101000000000000000000000001010100000000000001101010000000000010001000000000000000000000001000000001010001000000000000000000000000000000000000000000000001000010000000001001000000000001011000000000000000000111100010000000000100000000000000010000000000010000010010000001101000000000001100100100000000000000000000010000000000001000000000000000000000000000110000001000000010000000111000000001001001000000000000100000000000000110100001000001100100000011000110010100100000001101000010|35^16^91^9|969^944",900009
"0000011101000001111000101010011000110001000001000001001011000000100000000000000101000000000100000000110001000000000000000000100001011010000000010100010000000001000000000100000000010001000000010100010010010100000000000011000000001100000000000010000010010101000000100000100000010000000000111101000000001010001000010000100000000000010000010010001000000000000000010000000101000000010000000000000000001000000100100101000000000000010000011000000000000000100000100000000000011100000010000011000100010011000101000000000000000000000100000000000000000000000000010000001000000001100000000000000001001000010000000000000000011000000001110001100000000000000000000000001000000000000000100100000000000000001001000010001000001000000000000000000011000010000000001100000101000000000000001100000100000000000100001000000000000000000100000000000000000000010001000000001000000000000000000000000000100000000000000000000000000000000101000011000000010000000000000010000110000000001001100000000001010100010000101000101101000010|35^16^91^9|969^944",900010
"0000011101000001111000001010010010110001000101000000001010000000100000000000100101010000001100000000000001000000000000000100100001001010000000010000010000000001000000000110000000000001000000010100000011010100000000000010000000001100000000000010000010010000000000100000100000010000000000100001110000000010001000001100000000000000010000110010011000000000000000000001000001000000100000000000000000000000000000000110000000000010010000011000000000000000100000101000000000001000000011001001000101001010000001000000000000000000000101000000000000000000000001010100000000000001101010000000000011001000000000000000000000001000000001010001000000000000000000000000000000000000000000000001000010000000001001000000000001011000000000000000000111100010000000000100000000000000010000000000010000010010000001101000000000001100100100000000000000000000010000000000001000000000000000000000000000110000001000001010001000101000000001001001000000000000100000000000000110100001000001100100000011000110010100100000001101000010|35^16^91^9|969^944",900011
"0000011101000001111000001010011010110001000001000110101000000000000010100000000000000001000000000000100001000000000000000000100001100010000000010100010000000000000000000110000000010011000000010100000000010000000000000010000000001100000000000010000010010001000000000000100000010000000000001001000000000010001000010000100100001000010000100010001100000000000000000000000001100001110000000000000000001000000000100100000000000000110000011000000000000000000000000000000000001011000011000001101001010101000101001000000000000010010100000100000000000000000000010101000000000001000000010000000010001000000100000000000000001000000001010001010000000000000000000000000100010000000000100100000000000000000000000010001000000010000000000000100010100010000000001100010001000000000000001000000000000001000000100000000000000100100100000100000001000101011000000000001001000000000000000000000000100000000100000001000001100010000101000100000000000000000000001000000010100000001001100000000001001000110000100000101011000010|35^16^30^9|969^944",900012
"0000011101000001111001001010010000110001000101000100001010000011100000000000100101000000000101000000000000000000000000000000100001001010000000110000010000001001000000000111000000010001000000110100000000000100000000000011000000001110000000000010000010000001000000000000100000000000000000100101000000001110001000010100100000000000010000010010001000000000100000001000000000100001000000000000010000010000000000000001000000000000000101011000000010000000100000100000000000010100000001000001000101000011000100000000000000000000001100000000000000000000000100010100011100000000100010010000000011000000000000000000000000001000000000011001010000000000010000000000001000000000000000000000000010000010000001001000001000001010000000001000000101010010000000001100000100010000000000001000010000000000000000001001000000000100100000001100000000000000001000101000001000000000000000000000000000010000000100000000000000100000000100000000100000000000001000001000001110100010001001100000000001010110010000101000000101000000|35^16^91^9|969^944",900013
"0000011101000001111000101010011000110001000001000000001011000010100000000000101101000000000100000000100001000010000000000100100001011010000000010100010000000001000000000110000000000001000000110100010010110101000000000011000000000110000000000010000010010101010000100000100000010010000000101101000000000010000000010100000000000000010000010010001000000000000000010000001001000000010000000000000000001000000100100101000000100000010000011000000000001000100000100000000000011100000010000011000100000010000101000000000000000000001100000000000000000000000001010000010000000001100000000000010001001000010100000000000000011000100001110000100000000000000000000000000000000100000100000100000000000000001001000000001000001000000000000000000011000010000000001100000101000000000000001000000000000000000100001000000000000000000100000000000000000000110001000000001000000000000000000000000000100000000000000000000000000000000101000011000000010000000000000010000110000000001001100000100001000100010000100000101101001010|35^16^91^9|969^944",900014
"0000011101000001111000001010011010100001000101000110101000001000000010100000000000000001001000001000100001000000000000000000100001100010000000010100010000000000000000001110000000010011000000010100000000010000000000000010000000001100000000000010000010010001000000000000100100010000000000001001000000000010001000010100100100001000010000100010001100000000000000000000000001100001110000000000000000001000000000100100000000000000100000001000000000000000000000000000000000101011000011000001101001010101000101001000000000000010010100000000000100000000000000010101000000000001000000010000000010001000000100000000000000001000000001010001010000000000000000000000000100010000000000100100000000000000000000000010001000000010000000000000100010100010000000001100010001000000000000001000000000000001000000100000000000000100100100000100000000000100011000000000001001100000000000000000000000100000000100000001000001100010000100000100000000000000000000001000000010100000001001100000000001001010110000100000101011000010|5^16^30^9|969^944",900015
