BRAIN_root::brainData,ID
"0000000000000000000001000000000000000001101000000010001010100000000000001000000000000010100100001000100001000001101100000000000001000000000000000000001000000010000010100000110000000000000000110100000001010000000000000000001000010000000000000000000001000000000000000010000000001000011001000000100100010001101100100001000000001011110000001000100000000001010100001000010000100000010010100010000001000000000000000000000000000000100101001010000000000000000001000000000000010000000000000001001000110000000000000100110010010000100000000010000101000000000000000000011001001110000010100000001000010000000000000100000000010000000000000000000001100101000010001100000000000000000100010000010001011000001000000010000000000000000110010000000000010000000000000000000000010000000000001000000000000000000000101001000110000011000000000000010000110100000000101010000000011000000100001100100100000000000000000000000100000000000001011001110000010000000100110000000010001100000000101000010000001010010100110000000000000000|96|931^979^965^935",3800001
"0000000000000000000010110000011001010001100000000000000010010001000000101000000100000010000000001100000001010000001000010000000000000000000000000001001000010110000010000010110010000000000000010100000001110000100000000001001001010000010000000000000000100001000110100010000000001000001000000000000000000000001010000001000001000011001000001000000000000010000100001000011001000000000010000010000000000000110100000000010000000010100100001000000000010000000001000000000000010000000000000000001100110000000010010100000000000000100000010000000101000000000000100000111001001000000000000000000001100000000000000010000000000000000000000000000000010101000010001100000000000000100100000000000001010000011000000001000001000000000011011000000000010000000000000000000000010000000000001100000000000000010001101101000110000010001001000100010000110100001000101010000000011000000100001100110110000000000001000000000001011001000000111000010100010000000100110000000010001110100000001000010000000011000100111001010000000000|96|931^979^965^935",3800002
"0000000000000000000001000000000000000001101000000010001010100000000000001000000000000000100100001000100001000001101100000000000001000100000000000000001000000010000010100000110010000000000000110100000001010000000000000000001000010000000000000000010001000000000010000010000010001000011001000000110100010001101100100001000000001011110000000000010000000001010100001000010000100000010010100010000001000000000000000000000000000000100101001010000000000000000001000000000000010000000000000000001000110000000000000100110010010000100000000011000101000000000000000000011001001110000010100000001000010000000000000100000000010000000000000000000001100101000010001110000000000000000100010000000001001000001000000010000001000000000110010100000000010000000000100000000000010000000000001000000000000000000000101001000110000010000001000000010000110100000000101010000000011000000100001100100100000000000000000000000100000000000001011000110000010000000100110000000010001100000000111000010000000010010100110000000000000000|96|931^979^965^935",3800003
"0000000000000000000010000000000000000001101000000010001010100000000000001000000000000010100100001000100001000001101100000000000001000000000000000000001000000000000010100000110010000000000000110100000001010000000000000000001000010100000000000000000011000000000010000000000000001010011001000000100100010001101100100001000000001011110000001000000000000001010100000000010000100000010010000010000001000000000100000000000000000000100101001000000000000000000001000000000000010000000000000000001000110000000000000100010010010000100000000011000101000000000000000000011001001110000010100000001000010000000000000100000000010000000000000000000001100101000000001100000000000000000100010000000001001000001000000110000000000000000110010000000000010000000000000000000000010000000000000000000000000000000000101001000110000010000001000000010000110100001000101010000000011000000100001100100100000000000000000000000100000000000001011000110000010000000100110000000000001100000000101000010000000010010100110000010000000000|96|931^979^965^935",3800004
"0000000000000000000011000000000000010001101000001000001010100000000000001000000100101000100100011000100001000001101100001000000000000000000000000000000000000010000010100000010010000000001000110100100001010001000000000000001000010101000000000000000010000000000010000000000010001010001001001000100100000001001100100001000000001011010000001000000000000001010100001000010001100000010010100010000001000000000100000000000010000000100100001010000000000000000001000000000000010000000000000000001000110000000000000100100010010001100100000010000101000000000000100000011011001110000000000000001000010000000000010100000000010000000000000000000001100101000010001000000000100000000110010000000001001000001000000110000001000000000110010000000000010000000000000000000000010000000000001000000000000000010000101001000100000010001001000100010000110100000000101010000000011000000100001110100100000000000000000000000110000000010001011000110100000000000100110000000000001100000000101000010000000010010100110000000000000000|96|931^979^965^935",3800005
"0000010000000000000010000000000000000001101000000010001010100000000000001000000000000010100100001000000000000001101000000000000001000000000000000000000000000010000010100000110010000000000000110100000001011000000000000000001000010100000000000000000011000000000010000010000000001000011001000000100100010000101000100001000000101011110000001000000000000001010100001000010000100000010010100010000001000001000100000000000000000000100101001010000000000000000001000000000000010000000000000000001000110000000000000100110010000000101000000011000101000000000000100000011001000110000010100000001010010000000000000001010000000000000000000000000001100101000000001000000000000000000100010000000001000000001000000110000001000000000110010000000000010000010000000000000000010000000000001000000000000000000000101001000110000010000001000000010000110100000000101010000000011000000100001100100100000000000000000000000100000000000000011000110000010000000100110000000000001100000000101000010000000010010100110000000000000010|96|931^979^965^935",3800006
"0000000000000000000010110100011001010001100000000000000010000001000000101000000100000010000000000100000001010000001000010000000000000000000000000001001000010110001010000010110010000000000000010100000001110000101010000001011001010000010101000000000000100001000110100010000000001000001000000000000000000000001010000001000001000011001000001000000000000010000100001000011001000000000010000010000000000000110100000000010000000010100100001000000000010000000001000000000000010000000000000000001100110000000010010100000000000000100000010000000101000000000000100000111001001010000000000000001001100000000000000010000000000000000000000000000000010101000010001100000000000000100100000000000001010000011000000001000001000000000011011000000000010000000000000000000000010000000000100100000000000000010001101101000110000010001001000100010000110100001000101010000000011000000100001100110110010000000001000000000001011001000000111000010100010000000100110000000010001110100000001000010000000011000100111001010000000000|25|931^979^965^935",3800007
"0000000000000000000010000000000000000001101000000010001010100000000000001000000000000000100100001000100000000001101100000000000001000000000000000000001000000000000000100000110010000000000000100100000001010000000000000000001000010100000000000000000011000000000010000000000010001010011001000000100100010001101100100001000000001011110000001000000000000001010100001000010000100000010010100010000001000000000100000000000000000000100101001000000000000000000001000000000000010000000000000000001000110000000000000100110010010000100000000011000101000000000000100000011001001110000010100000001100010000000000000100000000010000000000000000000001100111000010001100000000000000000100010000000001001000001000000110000000000000000110010000000000010000000000000000000000010000000000001000000000000000000000101001000110000010000001000000010000110100000000101010000000011000000100001100100100000000000000000000000100000000000001011000110000010000000100110000000000001100000000101000010000000010010100110000000000000000|96|931^979^965^935",3800008
"0000000000000000000001000000000000000001101000000010001010100000000000001000000000000010100100001000000000000001101100000000000001000000000000000000001000000010000010100000110010000000000000110100000001010000000000000000001000010000000000000000010000000000000010000010000000001000011001000000100100010001101000000001000000001011110000000000010000000001010100001000010000100000010010100010000001000000000000000000000000000000100101001010000000000000000001000000000000010000000000000000001000110000000000000100110010010000100000000011000101000000000000000000011001001110000010100000001000010000000000000100000000010000000000000000000001100101010010001110000000000000000100010000000001000000001000000010000001000000000110010000000000010000000000000001000000010000000000001000000000000000000000101001000100000010000001000000010000100100000000101010000000011000000100001100100100000000000000000000000100000000000001011000110000010000000100110000000010001100000000101000010000000010010100110001000000000000|96|931^979^965^935",3800009
"0000000000000000000010000000000000000001000000000010001010000000000000000000000000000010110100001000100000000001101100000000000001000000000000000000001000000010000010100000010010000000000000010100000001011000000000000000001000010100000010000000000011000001000010000010000000001000011001000000100100010000101100100001000100000011110000001000000000000001010100001000000000100000010010100010000001000000000100000000000000000000100101011010000000000000000001000000000000010000000000000000001000110000000000000100110010000000100000000011000101000000000000101000011001000110000010100000001000010000000000000100000000010000000000000000000001100101000010001100000000000000000100010000000001001000001000000100000001000000000110010000000000010000000000000000000000010000000000001000000000000000000000101001000110000010000001000000010000110100000000101000000000011000000100001100000100000000000000000000000000000000000000011000110000010000000100110000000000001100000000101000010000000010010100110000000000000000|96|931^979^965^935",3800010
