ID,alive,nBack_1_AVE,nBack_1_LIST,nBack_2_AVE,nBack_2_LIST,nBack_3_AVE,nBack_3_LIST,nBack_4_AVE,nBack_4_LIST,optimizeValue,score_AVE,score_LIST,timeOfBirth,tournament_numOffspring,wireCount_AVE,wireCount_LIST,wireCountActive_AVE,wireCountActive_LIST,snapshotAncestors_LIST,update
4400001,1,0.496000,"0.496000",0.504000,"0.504000",0.500000,"0.500000",0.496000,"0.496000",0.499000,0.499000,"0.499000",43999,0,149.000000,"149",125.000000,"125","4300009",44000
4400002,1,0.916000,"0.916000",0.928000,"0.928000",0.936000,"0.936000",0.936000,"0.936000",0.929000,0.929000,"0.929000",43999,13,148.000000,"148",115.000000,"115","4300009",44000
4400003,1,0.524000,"0.524000",0.544000,"0.544000",0.464000,"0.464000",0.464000,"0.464000",0.499000,0.499000,"0.499000",43999,0,161.000000,"161",97.000000,"97","4300009",44000
4400004,1,0.488000,"0.488000",0.500000,"0.500000",0.500000,"0.500000",0.508000,"0.508000",0.499000,0.499000,"0.499000",43999,0,152.000000,"152",117.000000,"117","4300009",44000
4400005,1,1.000000,"1.000000",0.528000,"0.528000",0.512000,"0.512000",0.512000,"0.512000",0.638000,0.638000,"0.638000",43999,0,144.000000,"144",86.000000,"86","4300009",44000
4400006,1,0.908000,"0.908000",0.916000,"0.916000",0.928000,"0.928000",0.940000,"0.940000",0.923000,0.923000,"0.923000",43999,6,165.000000,"165",112.000000,"112","4300009",44000
4400007,1,0.508000,"0.508000",0.512000,"0.512000",0.512000,"0.512000",0.508000,"0.508000",0.510000,0.510000,"0.510000",43999,0,153.000000,"153",121.000000,"121","4300009",44000
4400008,1,0.492000,"0.492000",0.508000,"0.508000",0.480000,"0.480000",0.480000,"0.480000",0.490000,0.490000,"0.490000",43999,0,149.000000,"149",88.000000,"88","4300009",44000
4400009,1,0.508000,"0.508000",0.496000,"0.496000",0.496000,"0.496000",0.500000,"0.500000",0.500000,0.500000,"0.500000",43999,0,147.000000,"147",106.000000,"106","4300009",44000
4400010,1,0.572000,"0.572000",0.564000,"0.564000",0.560000,"0.560000",0.540000,"0.540000",0.559000,0.559000,"0.559000",43999,0,158.000000,"158",122.000000,"122","4300009",44000
4400011,1,0.488000,"0.488000",0.500000,"0.500000",0.524000,"0.524000",0.520000,"0.520000",0.508000,0.508000,"0.508000",43999,0,158.000000,"158",131.000000,"131","4300009",44000
4400012,1,0.748000,"0.748000",0.452000,"0.452000",0.428000,"0.428000",0.512000,"0.512000",0.535000,0.535000,"0.535000",43999,0,155.000000,"155",106.000000,"106","4300009",44000
4400013,1,0.492000,"0.492000",0.480000,"0.480000",0.516000,"0.516000",0.520000,"0.520000",0.502000,0.502000,"0.502000",43999,0,149.000000,"149",78.000000,"78","4300009",44000
4400014,1,0.504000,"0.504000",0.480000,"0.480000",0.472000,"0.472000",0.528000,"0.528000",0.496000,0.496000,"0.496000",43999,0,151.000000,"151",90.000000,"90","4300009",44000
4400015,1,0.480000,"0.480000",0.476000,"0.476000",0.484000,"0.484000",0.488000,"0.488000",0.482000,0.482000,"0.482000",43999,0,151.000000,"151",77.000000,"77","4300009",44000
4400016,1,0.496000,"0.496000",0.508000,"0.508000",0.504000,"0.504000",0.496000,"0.496000",0.501000,0.501000,"0.501000",43999,0,151.000000,"151",59.000000,"59","4300009",44000
4400017,1,0.528000,"0.528000",0.532000,"0.532000",0.528000,"0.528000",0.528000,"0.528000",0.529000,0.529000,"0.529000",43999,0,156.000000,"156",123.000000,"123","4300009",44000
4400018,1,0.532000,"0.532000",0.524000,"0.524000",0.528000,"0.528000",0.564000,"0.564000",0.537000,0.537000,"0.537000",43999,0,154.000000,"154",123.000000,"123","4300009",44000
4400019,1,0.488000,"0.488000",0.492000,"0.492000",0.492000,"0.492000",0.492000,"0.492000",0.491000,0.491000,"0.491000",43999,0,162.000000,"162",95.000000,"95","4300009",44000
4400020,1,0.536000,"0.536000",0.532000,"0.532000",0.520000,"0.520000",0.512000,"0.512000",0.525000,0.525000,"0.525000",43999,0,151.000000,"151",119.000000,"119","4300009",44000
4400021,1,0.492000,"0.492000",0.496000,"0.496000",0.500000,"0.500000",0.504000,"0.504000",0.498000,0.498000,"0.498000",43999,0,153.000000,"153",74.000000,"74","4300009",44000
4400022,1,0.584000,"0.584000",0.596000,"0.596000",0.588000,"0.588000",0.576000,"0.576000",0.586000,0.586000,"0.586000",43999,0,155.000000,"155",127.000000,"127","4300009",44000
4400023,1,0.540000,"0.540000",0.552000,"0.552000",0.552000,"0.552000",0.552000,"0.552000",0.549000,0.549000,"0.549000",43999,0,148.000000,"148",71.000000,"71","4300009",44000
4400024,1,0.512000,"0.512000",0.516000,"0.516000",0.528000,"0.528000",0.520000,"0.520000",0.519000,0.519000,"0.519000",43999,0,150.000000,"150",81.000000,"81","4300009",44000
4400025,1,0.892000,"0.892000",0.908000,"0.908000",0.912000,"0.912000",0.916000,"0.916000",0.907000,0.907000,"0.907000",43999,3,160.000000,"160",91.000000,"91","4300009",44000
4400026,1,1.000000,"1.000000",0.488000,"0.488000",0.496000,"0.496000",0.484000,"0.484000",0.617000,0.617000,"0.617000",43999,0,157.000000,"157",90.000000,"90","4300009",44000
4400027,1,0.492000,"0.492000",0.496000,"0.496000",0.504000,"0.504000",0.500000,"0.500000",0.498000,0.498000,"0.498000",43999,0,149.000000,"149",66.000000,"66","4300009",44000
4400028,1,0.892000,"0.892000",0.912000,"0.912000",0.920000,"0.920000",0.924000,"0.924000",0.912000,0.912000,"0.912000",43999,3,156.000000,"156",123.000000,"123","4300009",44000
4400029,1,0.480000,"0.480000",0.508000,"0.508000",0.464000,"0.464000",0.444000,"0.444000",0.474000,0.474000,"0.474000",43999,0,150.000000,"150",124.000000,"124","4300009",44000
4400030,1,1.000000,"1.000000",0.496000,"0.496000",0.480000,"0.480000",0.472000,"0.472000",0.612000,0.612000,"0.612000",43999,0,152.000000,"152",107.000000,"107","4300009",44000
4400031,1,0.476000,"0.476000",0.476000,"0.476000",0.476000,"0.476000",0.496000,"0.496000",0.481000,0.481000,"0.481000",43999,0,157.000000,"157",108.000000,"108","4300009",44000
4400032,1,0.484000,"0.484000",0.480000,"0.480000",0.488000,"0.488000",0.484000,"0.484000",0.484000,0.484000,"0.484000",43999,0,150.000000,"150",103.000000,"103","4300009",44000
4400033,1,0.516000,"0.516000",0.516000,"0.516000",0.520000,"0.520000",0.532000,"0.532000",0.521000,0.521000,"0.521000",43999,0,150.000000,"150",116.000000,"116","4300009",44000
4400034,1,1.000000,"1.000000",0.524000,"0.524000",0.540000,"0.540000",0.540000,"0.540000",0.651000,0.651000,"0.651000",43999,0,162.000000,"162",101.000000,"101","4300009",44000
4400035,1,0.464000,"0.464000",0.464000,"0.464000",0.476000,"0.476000",0.464000,"0.464000",0.467000,0.467000,"0.467000",43999,0,157.000000,"157",125.000000,"125","4300009",44000
4400036,1,0.488000,"0.488000",0.816000,"0.816000",0.832000,"0.832000",0.848000,"0.848000",0.746000,0.746000,"0.746000",43999,0,152.000000,"152",120.000000,"120","4300009",44000
4400037,1,0.912000,"0.912000",0.920000,"0.920000",0.932000,"0.932000",0.936000,"0.936000",0.925000,0.925000,"0.925000",43999,3,159.000000,"159",98.000000,"98","4300009",44000
4400038,1,0.916000,"0.916000",0.924000,"0.924000",0.928000,"0.928000",0.932000,"0.932000",0.925000,0.925000,"0.925000",43999,6,155.000000,"155",79.000000,"79","4300009",44000
4400039,1,0.532000,"0.532000",0.524000,"0.524000",0.460000,"0.460000",0.460000,"0.460000",0.494000,0.494000,"0.494000",43999,0,164.000000,"164",124.000000,"124","4300009",44000
