ID,alive,nBack_1_AVE,nBack_1_LIST,nBack_2_AVE,nBack_2_LIST,nBack_3_AVE,nBack_3_LIST,nBack_4_AVE,nBack_4_LIST,optimizeValue,score_AVE,score_LIST,timeOfBirth,tournament_numOffspring,wireCount_AVE,wireCount_LIST,wireCountActive_AVE,wireCountActive_LIST,snapshotAncestors_LIST,update
3800001,1,0.520000,"0.520000",0.516000,"0.516000",0.496000,"0.496000",0.500000,"0.500000",0.508000,0.508000,"0.508000",37999,0,151.000000,"151",113.000000,"113","3700021",38000
3800002,1,0.484000,"0.484000",0.500000,"0.500000",0.500000,"0.500000",0.496000,"0.496000",0.495000,0.495000,"0.495000",37999,0,159.000000,"159",125.000000,"125","3700021",38000
3800003,1,0.532000,"0.532000",0.512000,"0.512000",0.508000,"0.508000",0.520000,"0.520000",0.518000,0.518000,"0.518000",37999,0,169.000000,"169",147.000000,"147","3700021",38000
3800004,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",37999,7,151.000000,"151",126.000000,"126","3700021",38000
3800005,1,0.524000,"0.524000",0.484000,"0.484000",0.488000,"0.488000",0.488000,"0.488000",0.496000,0.496000,"0.496000",37999,0,159.000000,"159",134.000000,"134","3700021",38000
3800006,1,0.532000,"0.532000",0.540000,"0.540000",0.468000,"0.468000",0.532000,"0.532000",0.518000,0.518000,"0.518000",37999,0,152.000000,"152",116.000000,"116","3700021",38000
3800007,1,0.812000,"0.812000",0.488000,"0.488000",0.816000,"0.816000",0.792000,"0.792000",0.727000,0.727000,"0.727000",37999,0,158.000000,"158",101.000000,"101","3700021",38000
3800008,1,0.488000,"0.488000",0.464000,"0.464000",0.552000,"0.552000",0.480000,"0.480000",0.496000,0.496000,"0.496000",37999,0,159.000000,"159",129.000000,"129","3700021",38000
3800009,1,0.472000,"0.472000",0.472000,"0.472000",0.468000,"0.468000",0.476000,"0.476000",0.472000,0.472000,"0.472000",37999,0,151.000000,"151",114.000000,"114","3700021",38000
3800010,1,0.740000,"0.740000",0.708000,"0.708000",0.720000,"0.720000",0.684000,"0.684000",0.713000,0.713000,"0.713000",37999,0,152.000000,"152",128.000000,"128","3700021",38000
3800011,1,0.412000,"0.412000",0.464000,"0.464000",0.468000,"0.468000",0.476000,"0.476000",0.455000,0.455000,"0.455000",37999,0,162.000000,"162",129.000000,"129","3700021",38000
3800012,1,0.460000,"0.460000",0.452000,"0.452000",0.444000,"0.444000",0.424000,"0.424000",0.445000,0.445000,"0.445000",37999,0,153.000000,"153",122.000000,"122","3700021",38000
3800013,1,0.472000,"0.472000",0.524000,"0.524000",0.532000,"0.532000",0.528000,"0.528000",0.514000,0.514000,"0.514000",37999,0,155.000000,"155",123.000000,"123","3700021",38000
3800014,1,0.476000,"0.476000",0.472000,"0.472000",0.476000,"0.476000",0.476000,"0.476000",0.475000,0.475000,"0.475000",37999,0,158.000000,"158",125.000000,"125","3700021",38000
