BRAIN_root::brainData,ID
"1101001110000000100000000000000000110001000001001100000000000010001000100000000000000001000000001000000000000010000001110100010001000010010000000000000010100000100000000000000000101010011100000000000100010010100001000000000000000010010000001010000000100001010100000000000000000100100000000111100000001000001000100101001000000000000000010100000100001001000010110000000000001000100000000000000001100000010101000010000000000000000000000000000000000000000000000110000100000000000110000000000000001001010000100010000010100000000010010001000001000000100000000010000100100101000000000000001000000000000100000100100000000100000000000001000000000000000010000000001000000001100000000000000000110000100000000001000000100000101100000000000011000010100010000000000000000000000000000000000000000010000000100000110000000001100010000000110000000010100001000000000100000100000000000000100000100000000100000000010000000010000001001000010000001000100000000000101000000000001100100010010010000100001000000101010000000011|45|902^989^973^917",4100001
"1101000010000000000100000000000000110011010001001100000001000000001001100010000100000011000000001000000000000010000001010100010000100010000010010000000010010000100011000010101000100010001000010010010000011010101001000000000000000001010001101010000000100000000100000000000000100010100000001011100001000000001000100000001000000100000000000011000101001001000010100010000000001000100000000000000001000000000010000000000000111001100000100000000000000000100000000100000100000100000100000000000000001000000000110010000000100001000000010000000001000000000100000011000000000100011000000000001000000000010001000000100000000100000000000000000001000000000000000000000000000000000000000000000000000000000000100000000000110000101100001000000001100000000000000001100000000000000000000000000000000001100001100000010000000001100000100000110000000000101001000000101100000010000000000000100000000000100100000000000000000010000000001000010000100000100000000001001000000000101000100010000000000100000000110101011000000110|45|902^989^973^917",4100002
"1001000010000000100100000000000000110011010001001100000001000000001001100010000100000010000000001000000000000011000001110100010000000010000110010000000000010000100011000010101000100010001000010010011100011010101001000000000000000001000001101010000000100000000100000000000000000010100000001011100000000000001001100010001000000010000000000011000100001001000000100010000000000000100000000000000001000000000001000010000000000000000100000000000000000000100000000100010100000100000100000000000001001000000000111010000000100001000000010000000000000000000000100011000000000000011000000000001000000000010000000000100000000100000000000000000000000000000010000000001000000000000000000000000000000000001000100000000000110000101100000000000000000000000000000001100000000000000000000000000000000001100001100000010000000001100000000000110010000000100001000000000100000010000000000000100000000000100100000010000000000010000000001010010000100000100000000001101000000000101000100010000000000100001000100101011000000110|45|902^989^973^917",4100003
"1001001010000000100100000000000000010001100011001100000010000010101000100010010000000001000000001000000000000010000001110100010001000010000000000000000010100000100000000000100000101010011000000000000100010010100000000000100000000010010001001010000000100001010100000000000000000000100000001111100000000000001000000001001000100100000100010100000100001001000000110000000000001000100000000000000001000000010001000010000000000001000000000000000000000000000000000000000100000100000100000000000000001001010000100010000010100000000010110001000000000000100000000010000000100101000000000000001000000000000100000000100000000110000000000000000011000000000010000000001000000001100000000000000000110000100000000001000100100000111100000000000010000000100010000000000000000000000000000010000000000010100000100000010000000001100110000000110000000010100000000000000100010100000000000010100000000000000100000000010000000010000001001000010000000000110000000000101000000000001000000010010000000100000000000001010000000011|45|902^989^973^917",4100004
"0001000010000000100100000000000010110011010001001100000001000000001001100000000100000000000000001000000000000010010001110100010000000010000010010000000010010000100011000010101000100010001000010010011000010010101001000000000000000001010001101010000000100000000100000000000000100010100000001011100000000000001001000000001010000110100000000001001100001001000010100010000000000000100100000000000001000000000001000010000000000001000000000000000000000000100000000100010100000100000100000000000001001000000000111010000000100001000000010000000000000000000000000011000000000000011000000000001000000000010000000000100000000100000010000001000001000000000010000000000000000000000000000000000000000000000000100000000000110000101100000000000001100000000000000001100000000000000000000000100000000001100001100000010000000001100000100000010000000000100001000000000100001010000000000000100000000000100100000000000000000010000000001010010000100000100000000001101000000000101000100010000000000100001000110101011000000100|45|902^989^973^917",4100005
"1101000010000000100100000000000000110011001001001100000001000000001000100010000100000010000000001000000000000010000001110100010000000010000010010000000010010000100001000010101000100010001000010000011000011010101001000000000000000001000001101010000000100000000000000000000000100010100000001011100000000000001000100010001000000010000000000011000100001001000000000010000000000100100000000000000001000000000001000010000000000000000000000001000000000000100000000100010100000100000101000000000001001000000000011010000000100001000000010000000000000000000000000001000000000000011000000000001000000000010000000001100000000100000000000000000001000000000010000000001000000010000000000000100000000000000000100000000000110000101110000000000000100000000000000001100000000000000000000000000000000001100001100000010000000001100000000000110010000000100000000000000100000010000000000000100000000000100100000000000000000010000000001010010000100000100000000001101000000000100000100010000000000100001000110101011000000110|45|902^989^973^917",4100006
"1101001010000000100000000000000000110001000001001100000000000010001000100000000000000001000000001000000001000010000001110100010001000010010000000000000010100000100010000000000000101010011000000000000100010010100001000000000000000010010000001010000000100001010100000000000000000100100000000111100000001000001000100101001000000000000000010100000100001001000010110000000000001000100000000000000001000000010101000010000000000001000000000000000000000000000000000110000100000000000100000000000000001001010000100010000010100000000010010001000001000000100000000010000100000101000000000000001000000000000100000000100000000100000000000001000001000000000010000000001000000001100000000000000000111000100100000001000000100000101100000000000011000010100010000000000000000000000000000000000000001010000000100000110000000011100010000000110000000010100001000000000100000100000000000000100000100000000100000000010000000010000001001000010000001000100000000000101000000000001100100010010010000100001000000101010000000011|45|902^989^973^917",4100007
"1101000010000010100100000100000000110001010001001100000001000000001001001010100100000010000000001000000000000010000001110100010000000010000010010000000010010000100011000010101000000010001000010010011000011010101001000000000000000001010001101010000000100000000100000000000000100010100000001011100000000000001001100010001000000110000000000011000100001001000010000010000000000000100000000000000001010000000001000010000000000001000000000000000000000000100000000100010100000000000100000000000000001000000000110010000001100001000000010000000000010000000000000010000000000100010000000000001000000100010000000000100000000100000000000001000101000000000110000000001000000000000000000000000000000000000000100000000000110001101110001000000001100000000000000001100000000000000000001000000000000001100001100000010000000001000000100000110000000000100001000000000100000010000000000000100100000000100100000000000000000010000000001000010000100000110000000001101000000000101000100010000000000100001000100101011000000010|45|902^989^973^917",4100008
"1101001010000000100100001000000000110001000011001100000000000010001000100000000000000001000100001000000000000010000001010100010001000010010000000000001010100000100000000000000000001010001000000000000000010010100001000000000000000010010000000010000000100001010100000000000000000000100000000111100000000000001000100001001000000000000000010100010000001001000000110000000000001000100000000000000001000000010001000010000000000001000000000000001000000000000000000000000100000100000100000000000000001001010000100010000010100000000000010001000000000000100000000010000000100100000000000000101000000000000100000000100000000000000000000001000011000000000010000000001000000001100000000000000000110000000000000000000000100000101110000000000011000010100010000000000000000000000000000000000000000010100000100000010000000001100010000000110000000010100001000000000100000100000000000000100000000000000100000010010000000010000001001000010000000000100000000000101000000000001000100010010000000100001000000100010000000011|45|902^989^973^917",4100009
"1001000010000000100100000000000000110011010001001100000001000000001001100010000100000010000000001000000000000011000001110100010000000010000110010000000000010000100011000010101000100010001000010010011000011010101001000000000000000001000001101010000000100000000100000000000000100010100000001011100001000000001001100010001000000010000000000011000100001001000000100010000000000000100000000000000001000000000001000010000000000000000000000000000000000000100000000100010100000100000100000000000001001000000000111010000000100001000000010000000000000000000000000011000000000000011000000000001000000000010000000010100000000100000000000000000000000000000010000000001000000000000000000000000000000000000000100000000000110000101100000000000001000000000000000001100000000000000000000000000000000001100001100000010000000001100000000000010010000001100001000000000100000010000000000000100000000000100100000000000000000010000000001010010000100000100000000001101000000000001000100010000000000100001000100101011000000110|45|902^989^973^917",4100010
