ID,alive,nBack_1_AVE,nBack_1_LIST,nBack_2_AVE,nBack_2_LIST,nBack_3_AVE,nBack_3_LIST,nBack_4_AVE,nBack_4_LIST,optimizeValue,score_AVE,score_LIST,timeOfBirth,tournament_numOffspring,wireCount_AVE,wireCount_LIST,wireCountActive_AVE,wireCountActive_LIST,snapshotAncestors_LIST,update
4400001,1,0.404000,"0.404000",0.416000,"0.416000",0.584000,"0.584000",0.420000,"0.420000",0.456000,0.456000,"0.456000",43999,0,163.000000,"163",110.000000,"110","4300027",44000
4400002,1,0.892000,"0.892000",0.324000,"0.324000",0.908000,"0.908000",0.900000,"0.900000",0.756000,0.756000,"0.756000",43999,2,165.000000,"165",148.000000,"148","4300027",44000
4400003,1,0.520000,"0.520000",0.520000,"0.520000",0.520000,"0.520000",0.532000,"0.532000",0.523000,0.523000,"0.523000",43999,0,157.000000,"157",115.000000,"115","4300027",44000
4400004,1,0.692000,"0.692000",0.500000,"0.500000",0.496000,"0.496000",0.460000,"0.460000",0.537000,0.537000,"0.537000",43999,0,160.000000,"160",107.000000,"107","4300027",44000
4400005,1,0.468000,"0.468000",0.476000,"0.476000",0.472000,"0.472000",0.544000,"0.544000",0.490000,0.490000,"0.490000",43999,0,169.000000,"169",124.000000,"124","4300027",44000
4400006,1,0.908000,"0.908000",0.916000,"0.916000",0.920000,"0.920000",0.920000,"0.920000",0.916000,0.916000,"0.916000",43999,6,166.000000,"166",131.000000,"131","4300027",44000
4400007,1,0.464000,"0.464000",0.476000,"0.476000",0.532000,"0.532000",0.528000,"0.528000",0.500000,0.500000,"0.500000",43999,0,159.000000,"159",116.000000,"116","4300027",44000
4400008,1,1.000000,"1.000000",0.448000,"0.448000",0.468000,"0.468000",0.464000,"0.464000",0.595000,0.595000,"0.595000",43999,1,162.000000,"162",138.000000,"138","4300027",44000
4400009,1,0.496000,"0.496000",0.496000,"0.496000",0.508000,"0.508000",0.496000,"0.496000",0.499000,0.499000,"0.499000",43999,0,164.000000,"164",138.000000,"138","4300027",44000
4400010,1,0.540000,"0.540000",0.532000,"0.532000",0.548000,"0.548000",0.472000,"0.472000",0.523000,0.523000,"0.523000",43999,0,168.000000,"168",158.000000,"158","4300027",44000
4400011,1,0.780000,"0.780000",0.552000,"0.552000",0.556000,"0.556000",0.564000,"0.564000",0.613000,0.613000,"0.613000",43999,0,161.000000,"161",107.000000,"107","4300027",44000
4400012,1,0.500000,"0.500000",0.496000,"0.496000",0.496000,"0.496000",0.484000,"0.484000",0.494000,0.494000,"0.494000",43999,0,167.000000,"167",141.000000,"141","4300027",44000
4400013,1,0.528000,"0.528000",0.528000,"0.528000",0.532000,"0.532000",0.536000,"0.536000",0.531000,0.531000,"0.531000",43999,0,159.000000,"159",139.000000,"139","4300027",44000
4400014,1,0.648000,"0.648000",0.528000,"0.528000",0.472000,"0.472000",0.524000,"0.524000",0.543000,0.543000,"0.543000",43999,0,167.000000,"167",148.000000,"148","4300027",44000
4400015,1,0.508000,"0.508000",0.504000,"0.504000",0.500000,"0.500000",0.496000,"0.496000",0.502000,0.502000,"0.502000",43999,0,171.000000,"171",159.000000,"159","4300027",44000
4400016,1,0.448000,"0.448000",0.548000,"0.548000",0.456000,"0.456000",0.448000,"0.448000",0.475000,0.475000,"0.475000",43999,0,170.000000,"170",128.000000,"128","4300027",44000
4400017,1,0.476000,"0.476000",0.484000,"0.484000",0.488000,"0.488000",0.492000,"0.492000",0.485000,0.485000,"0.485000",43999,0,157.000000,"157",134.000000,"134","4300027",44000
4400018,1,1.000000,"1.000000",0.540000,"0.540000",1.000000,"1.000000",1.000000,"1.000000",0.885000,0.885000,"0.885000",43999,2,167.000000,"167",141.000000,"141","4300027",44000
4400019,1,0.520000,"0.520000",0.512000,"0.512000",0.480000,"0.480000",0.508000,"0.508000",0.505000,0.505000,"0.505000",43999,0,162.000000,"162",144.000000,"144","4300027",44000
4400020,1,0.464000,"0.464000",0.484000,"0.484000",0.488000,"0.488000",0.500000,"0.500000",0.484000,0.484000,"0.484000",43999,0,161.000000,"161",126.000000,"126","4300027",44000
4400021,1,0.488000,"0.488000",0.540000,"0.540000",0.484000,"0.484000",0.472000,"0.472000",0.496000,0.496000,"0.496000",43999,0,173.000000,"173",151.000000,"151","4300027",44000
4400022,1,1.000000,"1.000000",0.492000,"0.492000",0.488000,"0.488000",0.488000,"0.488000",0.617000,0.617000,"0.617000",43999,1,154.000000,"154",110.000000,"110","4300027",44000
4400023,1,0.516000,"0.516000",0.504000,"0.504000",0.464000,"0.464000",0.504000,"0.504000",0.497000,0.497000,"0.497000",43999,0,160.000000,"160",114.000000,"114","4300027",44000
4400024,1,0.488000,"0.488000",0.472000,"0.472000",0.480000,"0.480000",0.476000,"0.476000",0.479000,0.479000,"0.479000",43999,0,164.000000,"164",118.000000,"118","4300027",44000
4400025,1,0.472000,"0.472000",0.532000,"0.532000",0.468000,"0.468000",0.528000,"0.528000",0.500000,0.500000,"0.500000",43999,0,171.000000,"171",158.000000,"158","4300027",44000
4400026,1,0.440000,"0.440000",0.560000,"0.560000",0.548000,"0.548000",0.556000,"0.556000",0.526000,0.526000,"0.526000",43999,0,166.000000,"166",145.000000,"145","4300027",44000
4400027,1,0.496000,"0.496000",0.500000,"0.500000",0.512000,"0.512000",0.512000,"0.512000",0.505000,0.505000,"0.505000",43999,0,166.000000,"166",140.000000,"140","4300027",44000
4400028,1,0.504000,"0.504000",0.508000,"0.508000",0.500000,"0.500000",0.504000,"0.504000",0.504000,0.504000,"0.504000",43999,0,174.000000,"174",140.000000,"140","4300027",44000
4400029,1,0.472000,"0.472000",0.468000,"0.468000",0.528000,"0.528000",0.480000,"0.480000",0.487000,0.487000,"0.487000",43999,0,167.000000,"167",134.000000,"134","4300027",44000
4400030,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",43999,14,169.000000,"169",128.000000,"128","4300027",44000
4400031,1,0.508000,"0.508000",0.500000,"0.500000",0.496000,"0.496000",0.488000,"0.488000",0.498000,0.498000,"0.498000",43999,0,167.000000,"167",136.000000,"136","4300027",44000
4400032,1,0.464000,"0.464000",0.456000,"0.456000",0.452000,"0.452000",0.496000,"0.496000",0.467000,0.467000,"0.467000",43999,0,167.000000,"167",141.000000,"141","4300027",44000
