ID,alive,nBack_1_AVE,nBack_1_LIST,nBack_2_AVE,nBack_2_LIST,nBack_3_AVE,nBack_3_LIST,nBack_4_AVE,nBack_4_LIST,optimizeValue,score_AVE,score_LIST,timeOfBirth,tournament_numOffspring,wireCount_AVE,wireCount_LIST,wireCountActive_AVE,wireCountActive_LIST,snapshotAncestors_LIST,update
4100001,1,0.492000,"0.492000",0.484000,"0.484000",0.548000,"0.548000",0.492000,"0.492000",0.504000,0.504000,"0.504000",40999,0,181.000000,"181",158.000000,"158","4000076",41000
4100002,1,0.924000,"0.924000",0.528000,"0.528000",0.924000,"0.924000",0.928000,"0.928000",0.826000,0.826000,"0.826000",40999,1,180.000000,"180",150.000000,"150","4000076",41000
4100003,1,0.904000,"0.904000",0.564000,"0.564000",0.908000,"0.908000",0.912000,"0.912000",0.822000,0.822000,"0.822000",40999,1,174.000000,"174",154.000000,"154","4000076",41000
4100004,1,0.464000,"0.464000",0.476000,"0.476000",0.472000,"0.472000",0.480000,"0.480000",0.473000,0.473000,"0.473000",40999,0,177.000000,"177",160.000000,"160","4000076",41000
4100005,1,0.504000,"0.504000",0.508000,"0.508000",0.592000,"0.592000",0.512000,"0.512000",0.529000,0.529000,"0.529000",40999,0,186.000000,"186",155.000000,"155","4000076",41000
4100006,1,0.500000,"0.500000",0.512000,"0.512000",0.488000,"0.488000",0.576000,"0.576000",0.519000,0.519000,"0.519000",40999,0,179.000000,"179",162.000000,"162","4000076",41000
4100007,1,0.480000,"0.480000",0.476000,"0.476000",0.472000,"0.472000",0.544000,"0.544000",0.493000,0.493000,"0.493000",40999,0,186.000000,"186",161.000000,"161","4000076",41000
4100008,1,0.500000,"0.500000",0.508000,"0.508000",0.464000,"0.464000",0.524000,"0.524000",0.499000,0.499000,"0.499000",40999,0,182.000000,"182",159.000000,"159","4000076",41000
4100009,1,0.528000,"0.528000",0.528000,"0.528000",0.464000,"0.464000",0.480000,"0.480000",0.500000,0.500000,"0.500000",40999,0,174.000000,"174",156.000000,"156","4000076",41000
4100010,1,0.436000,"0.436000",0.560000,"0.560000",0.556000,"0.556000",0.552000,"0.552000",0.526000,0.526000,"0.526000",40999,0,167.000000,"167",119.000000,"119","4000076",41000
4100011,1,0.924000,"0.924000",0.928000,"0.928000",0.932000,"0.932000",0.940000,"0.940000",0.931000,0.931000,"0.931000",40999,22,178.000000,"178",150.000000,"150","4000076",41000
4100012,1,0.448000,"0.448000",0.456000,"0.456000",0.460000,"0.460000",0.468000,"0.468000",0.458000,0.458000,"0.458000",40999,0,174.000000,"174",153.000000,"153","4000076",41000
4100013,1,0.468000,"0.468000",0.548000,"0.548000",0.536000,"0.536000",0.548000,"0.548000",0.525000,0.525000,"0.525000",40999,0,181.000000,"181",167.000000,"167","4000076",41000
4100014,1,0.572000,"0.572000",0.440000,"0.440000",0.456000,"0.456000",0.460000,"0.460000",0.482000,0.482000,"0.482000",40999,0,181.000000,"181",160.000000,"160","4000076",41000
4100015,1,0.496000,"0.496000",0.492000,"0.492000",0.524000,"0.524000",0.496000,"0.496000",0.502000,0.502000,"0.502000",40999,0,183.000000,"183",155.000000,"155","4000076",41000
4100016,1,0.912000,"0.912000",0.912000,"0.912000",0.924000,"0.924000",0.936000,"0.936000",0.921000,0.921000,"0.921000",40999,1,183.000000,"183",160.000000,"160","4000076",41000
4100017,1,0.492000,"0.492000",0.504000,"0.504000",0.500000,"0.500000",0.500000,"0.500000",0.499000,0.499000,"0.499000",40999,0,170.000000,"170",146.000000,"146","4000076",41000
4100018,1,0.924000,"0.924000",0.508000,"0.508000",0.944000,"0.944000",0.944000,"0.944000",0.830000,0.830000,"0.830000",40999,0,176.000000,"176",150.000000,"150","4000076",41000
4100019,1,0.476000,"0.476000",0.488000,"0.488000",0.492000,"0.492000",0.472000,"0.472000",0.482000,0.482000,"0.482000",40999,0,176.000000,"176",151.000000,"151","4000076",41000
4100020,1,0.496000,"0.496000",0.508000,"0.508000",0.492000,"0.492000",0.504000,"0.504000",0.500000,0.500000,"0.500000",40999,0,173.000000,"173",151.000000,"151","4000076",41000
4100021,1,0.468000,"0.468000",0.468000,"0.468000",0.548000,"0.548000",0.556000,"0.556000",0.510000,0.510000,"0.510000",40999,0,175.000000,"175",156.000000,"156","4000076",41000
4100022,1,0.464000,"0.464000",0.476000,"0.476000",0.464000,"0.464000",0.468000,"0.468000",0.468000,0.468000,"0.468000",40999,0,180.000000,"180",153.000000,"153","4000076",41000
4100023,1,0.500000,"0.500000",0.500000,"0.500000",0.508000,"0.508000",0.496000,"0.496000",0.501000,0.501000,"0.501000",40999,0,173.000000,"173",145.000000,"145","4000076",41000
4100024,1,0.508000,"0.508000",0.492000,"0.492000",0.524000,"0.524000",0.464000,"0.464000",0.497000,0.497000,"0.497000",40999,0,183.000000,"183",168.000000,"168","4000076",41000
4100025,1,0.532000,"0.532000",0.524000,"0.524000",0.492000,"0.492000",0.496000,"0.496000",0.511000,0.511000,"0.511000",40999,0,176.000000,"176",141.000000,"141","4000076",41000
4100026,1,0.924000,"0.924000",0.928000,"0.928000",0.932000,"0.932000",0.936000,"0.936000",0.930000,0.930000,"0.930000",40999,13,178.000000,"178",164.000000,"164","4000076",41000
4100027,1,0.496000,"0.496000",0.492000,"0.492000",0.492000,"0.492000",0.488000,"0.488000",0.492000,0.492000,"0.492000",40999,0,181.000000,"181",155.000000,"155","4000076",41000
4100028,1,0.488000,"0.488000",0.476000,"0.476000",0.532000,"0.532000",0.520000,"0.520000",0.504000,0.504000,"0.504000",40999,0,183.000000,"183",168.000000,"168","4000076",41000
4100029,1,0.436000,"0.436000",0.448000,"0.448000",0.452000,"0.452000",0.464000,"0.464000",0.450000,0.450000,"0.450000",40999,0,172.000000,"172",152.000000,"152","4000076",41000
4100030,1,0.896000,"0.896000",0.908000,"0.908000",0.912000,"0.912000",0.916000,"0.916000",0.908000,0.908000,"0.908000",40999,1,172.000000,"172",156.000000,"156","4000076",41000
4100031,1,0.552000,"0.552000",0.464000,"0.464000",0.528000,"0.528000",0.520000,"0.520000",0.516000,0.516000,"0.516000",40999,0,176.000000,"176",156.000000,"156","4000076",41000
4100032,1,0.468000,"0.468000",0.456000,"0.456000",0.460000,"0.460000",0.440000,"0.440000",0.456000,0.456000,"0.456000",40999,0,182.000000,"182",165.000000,"165","4000076",41000
4100033,1,0.920000,"0.920000",0.924000,"0.924000",0.932000,"0.932000",0.936000,"0.936000",0.928000,0.928000,"0.928000",40999,4,175.000000,"175",147.000000,"147","4000076",41000
4100034,1,0.484000,"0.484000",0.484000,"0.484000",0.528000,"0.528000",0.500000,"0.500000",0.499000,0.499000,"0.499000",40999,0,178.000000,"178",139.000000,"139","4000076",41000
4100035,1,0.508000,"0.508000",0.492000,"0.492000",0.488000,"0.488000",0.484000,"0.484000",0.493000,0.493000,"0.493000",40999,0,180.000000,"180",165.000000,"165","4000076",41000
4100036,1,0.908000,"0.908000",0.924000,"0.924000",0.928000,"0.928000",0.932000,"0.932000",0.923000,0.923000,"0.923000",40999,2,175.000000,"175",157.000000,"157","4000076",41000
4100037,1,0.508000,"0.508000",0.500000,"0.500000",0.500000,"0.500000",0.488000,"0.488000",0.499000,0.499000,"0.499000",40999,0,169.000000,"169",132.000000,"132","4000076",41000
4100038,1,0.520000,"0.520000",0.492000,"0.492000",0.512000,"0.512000",0.480000,"0.480000",0.501000,0.501000,"0.501000",40999,0,180.000000,"180",153.000000,"153","4000076",41000
4100039,1,0.920000,"0.920000",0.928000,"0.928000",0.936000,"0.936000",0.940000,"0.940000",0.931000,0.931000,"0.931000",40999,22,176.000000,"176",159.000000,"159","4000076",41000
4100040,1,0.512000,"0.512000",0.516000,"0.516000",0.480000,"0.480000",0.488000,"0.488000",0.499000,0.499000,"0.499000",40999,0,181.000000,"181",159.000000,"159","4000076",41000
4100041,1,0.512000,"0.512000",0.500000,"0.500000",0.496000,"0.496000",0.484000,"0.484000",0.498000,0.498000,"0.498000",40999,0,175.000000,"175",148.000000,"148","4000076",41000
4100042,1,0.452000,"0.452000",0.456000,"0.456000",0.472000,"0.472000",0.464000,"0.464000",0.461000,0.461000,"0.461000",40999,0,176.000000,"176",149.000000,"149","4000076",41000
4100043,1,0.732000,"0.732000",0.460000,"0.460000",0.484000,"0.484000",0.480000,"0.480000",0.539000,0.539000,"0.539000",40999,0,180.000000,"180",169.000000,"169","4000076",41000
4100044,1,0.492000,"0.492000",0.496000,"0.496000",0.496000,"0.496000",0.484000,"0.484000",0.492000,0.492000,"0.492000",40999,0,174.000000,"174",143.000000,"143","4000076",41000
4100045,1,0.480000,"0.480000",0.512000,"0.512000",0.472000,"0.472000",0.464000,"0.464000",0.482000,0.482000,"0.482000",40999,0,171.000000,"171",148.000000,"148","4000076",41000
4100046,1,0.904000,"0.904000",0.916000,"0.916000",0.920000,"0.920000",0.932000,"0.932000",0.918000,0.918000,"0.918000",40999,5,173.000000,"173",147.000000,"147","4000076",41000
4100047,1,0.516000,"0.516000",0.928000,"0.928000",0.936000,"0.936000",0.512000,"0.512000",0.723000,0.723000,"0.723000",40999,0,171.000000,"171",156.000000,"156","4000076",41000
4100048,1,0.436000,"0.436000",0.436000,"0.436000",0.432000,"0.432000",0.448000,"0.448000",0.438000,0.438000,"0.438000",40999,0,173.000000,"173",155.000000,"155","4000076",41000
4100049,1,0.488000,"0.488000",0.528000,"0.528000",0.524000,"0.524000",0.524000,"0.524000",0.516000,0.516000,"0.516000",40999,0,179.000000,"179",167.000000,"167","4000076",41000
4100050,1,0.456000,"0.456000",0.460000,"0.460000",0.464000,"0.464000",0.464000,"0.464000",0.461000,0.461000,"0.461000",40999,0,171.000000,"171",151.000000,"151","4000076",41000
4100051,1,0.512000,"0.512000",0.504000,"0.504000",0.512000,"0.512000",0.504000,"0.504000",0.508000,0.508000,"0.508000",40999,0,181.000000,"181",147.000000,"147","4000076",41000
4100052,1,0.532000,"0.532000",0.524000,"0.524000",0.472000,"0.472000",0.480000,"0.480000",0.502000,0.502000,"0.502000",40999,0,180.000000,"180",163.000000,"163","4000076",41000
4100053,1,0.528000,"0.528000",0.492000,"0.492000",0.556000,"0.556000",0.496000,"0.496000",0.518000,0.518000,"0.518000",40999,0,170.000000,"170",137.000000,"137","4000076",41000
4100054,1,0.488000,"0.488000",0.516000,"0.516000",0.508000,"0.508000",0.492000,"0.492000",0.501000,0.501000,"0.501000",40999,0,178.000000,"178",150.000000,"150","4000076",41000
4100055,1,0.552000,"0.552000",0.532000,"0.532000",0.456000,"0.456000",0.464000,"0.464000",0.501000,0.501000,"0.501000",40999,0,179.000000,"179",168.000000,"168","4000076",41000
4100056,1,0.524000,"0.524000",0.516000,"0.516000",0.488000,"0.488000",0.488000,"0.488000",0.504000,0.504000,"0.504000",40999,0,171.000000,"171",140.000000,"140","4000076",41000
4100057,1,0.492000,"0.492000",0.472000,"0.472000",0.516000,"0.516000",0.516000,"0.516000",0.499000,0.499000,"0.499000",40999,0,182.000000,"182",165.000000,"165","4000076",41000
4100058,1,0.524000,"0.524000",0.524000,"0.524000",0.556000,"0.556000",0.488000,"0.488000",0.523000,0.523000,"0.523000",40999,0,182.000000,"182",173.000000,"173","4000076",41000
4100059,1,0.492000,"0.492000",0.496000,"0.496000",0.504000,"0.504000",0.496000,"0.496000",0.497000,0.497000,"0.497000",40999,0,179.000000,"179",169.000000,"169","4000076",41000
4100060,1,0.496000,"0.496000",0.528000,"0.528000",0.484000,"0.484000",0.488000,"0.488000",0.499000,0.499000,"0.499000",40999,0,183.000000,"183",153.000000,"153","4000076",41000
4100061,1,0.456000,"0.456000",0.448000,"0.448000",0.468000,"0.468000",0.484000,"0.484000",0.464000,0.464000,"0.464000",40999,0,177.000000,"177",154.000000,"154","4000076",41000
4100062,1,0.500000,"0.500000",0.508000,"0.508000",0.512000,"0.512000",0.496000,"0.496000",0.504000,0.504000,"0.504000",40999,0,178.000000,"178",161.000000,"161","4000076",41000
4100063,1,0.920000,"0.920000",0.920000,"0.920000",0.928000,"0.928000",0.940000,"0.940000",0.927000,0.927000,"0.927000",40999,0,178.000000,"178",166.000000,"166","4000076",41000
4100064,1,0.480000,"0.480000",0.480000,"0.480000",0.468000,"0.468000",0.468000,"0.468000",0.474000,0.474000,"0.474000",40999,0,180.000000,"180",150.000000,"150","4000076",41000
4100065,1,0.532000,"0.532000",0.524000,"0.524000",0.524000,"0.524000",0.472000,"0.472000",0.513000,0.513000,"0.513000",40999,0,176.000000,"176",158.000000,"158","4000076",41000
4100066,1,0.496000,"0.496000",0.488000,"0.488000",0.476000,"0.476000",0.468000,"0.468000",0.482000,0.482000,"0.482000",40999,0,173.000000,"173",148.000000,"148","4000076",41000
4100067,1,0.432000,"0.432000",0.528000,"0.528000",0.432000,"0.432000",0.436000,"0.436000",0.457000,0.457000,"0.457000",40999,0,179.000000,"179",142.000000,"142","4000076",41000
4100068,1,0.484000,"0.484000",0.468000,"0.468000",0.508000,"0.508000",0.476000,"0.476000",0.484000,0.484000,"0.484000",40999,0,180.000000,"180",164.000000,"164","4000076",41000
4100069,1,0.456000,"0.456000",0.460000,"0.460000",0.480000,"0.480000",0.484000,"0.484000",0.470000,0.470000,"0.470000",40999,0,172.000000,"172",147.000000,"147","4000076",41000
4100070,1,0.520000,"0.520000",0.504000,"0.504000",0.504000,"0.504000",0.496000,"0.496000",0.506000,0.506000,"0.506000",40999,0,181.000000,"181",174.000000,"174","4000076",41000
4100071,1,0.508000,"0.508000",0.512000,"0.512000",0.520000,"0.520000",0.512000,"0.512000",0.513000,0.513000,"0.513000",40999,0,179.000000,"179",162.000000,"162","4000076",41000
4100072,1,0.920000,"0.920000",0.924000,"0.924000",0.936000,"0.936000",0.944000,"0.944000",0.931000,0.931000,"0.931000",40999,16,176.000000,"176",146.000000,"146","4000076",41000
4100073,1,0.544000,"0.544000",0.528000,"0.528000",0.556000,"0.556000",0.472000,"0.472000",0.525000,0.525000,"0.525000",40999,0,182.000000,"182",153.000000,"153","4000076",41000
4100074,1,0.532000,"0.532000",0.508000,"0.508000",0.484000,"0.484000",0.476000,"0.476000",0.500000,0.500000,"0.500000",40999,0,177.000000,"177",155.000000,"155","4000076",41000
4100075,1,0.480000,"0.480000",0.472000,"0.472000",0.476000,"0.476000",0.472000,"0.472000",0.475000,0.475000,"0.475000",40999,0,177.000000,"177",153.000000,"153","4000076",41000
4100076,1,0.484000,"0.484000",0.484000,"0.484000",0.488000,"0.488000",0.492000,"0.492000",0.487000,0.487000,"0.487000",40999,0,181.000000,"181",149.000000,"149","4000076",41000
4100077,1,0.488000,"0.488000",0.524000,"0.524000",0.580000,"0.580000",0.536000,"0.536000",0.532000,0.532000,"0.532000",40999,0,179.000000,"179",152.000000,"152","4000076",41000
4100078,1,0.512000,"0.512000",0.480000,"0.480000",0.488000,"0.488000",0.496000,"0.496000",0.494000,0.494000,"0.494000",40999,0,173.000000,"173",146.000000,"146","4000076",41000
4100079,1,0.536000,"0.536000",0.520000,"0.520000",0.532000,"0.532000",0.520000,"0.520000",0.527000,0.527000,"0.527000",40999,1,181.000000,"181",170.000000,"170","4000076",41000
4100080,1,0.472000,"0.472000",0.468000,"0.468000",0.480000,"0.480000",0.516000,"0.516000",0.484000,0.484000,"0.484000",40999,0,172.000000,"172",137.000000,"137","4000076",41000
4100081,1,1.000000,"1.000000",0.484000,"0.484000",0.484000,"0.484000",0.488000,"0.488000",0.614000,0.614000,"0.614000",40999,1,174.000000,"174",153.000000,"153","4000076",41000
4100082,1,0.524000,"0.524000",0.484000,"0.484000",0.496000,"0.496000",0.484000,"0.484000",0.497000,0.497000,"0.497000",40999,0,168.000000,"168",138.000000,"138","4000076",41000
4100083,1,0.724000,"0.724000",0.712000,"0.712000",0.496000,"0.496000",0.496000,"0.496000",0.607000,0.607000,"0.607000",40999,1,179.000000,"179",154.000000,"154","4000076",41000
4100084,1,0.476000,"0.476000",0.528000,"0.528000",0.520000,"0.520000",0.516000,"0.516000",0.510000,0.510000,"0.510000",40999,0,173.000000,"173",147.000000,"147","4000076",41000
4100085,1,0.536000,"0.536000",0.468000,"0.468000",0.476000,"0.476000",0.548000,"0.548000",0.507000,0.507000,"0.507000",40999,0,183.000000,"183",166.000000,"166","4000076",41000
4100086,1,0.412000,"0.412000",0.504000,"0.504000",0.424000,"0.424000",0.428000,"0.428000",0.442000,0.442000,"0.442000",40999,0,180.000000,"180",153.000000,"153","4000076",41000
