ID,alive,nBack_1_AVE,nBack_1_LIST,nBack_2_AVE,nBack_2_LIST,nBack_3_AVE,nBack_3_LIST,nBack_4_AVE,nBack_4_LIST,optimizeValue,score_AVE,score_LIST,timeOfBirth,tournament_numOffspring,wireCount_AVE,wireCount_LIST,wireCountActive_AVE,wireCountActive_LIST,snapshotAncestors_LIST,update
4100001,1,0.472000,"0.472000",0.468000,"0.468000",0.476000,"0.476000",0.556000,"0.556000",0.493000,0.493000,"0.493000",40999,0,167.000000,"167",144.000000,"144","4000017",41000
4100002,1,0.500000,"0.500000",0.516000,"0.516000",0.516000,"0.516000",0.512000,"0.512000",0.511000,0.511000,"0.511000",40999,0,169.000000,"169",148.000000,"148","4000017",41000
4100003,1,0.520000,"0.520000",0.528000,"0.528000",0.520000,"0.520000",0.524000,"0.524000",0.523000,0.523000,"0.523000",40999,0,165.000000,"165",144.000000,"144","4000017",41000
4100004,1,0.464000,"0.464000",0.464000,"0.464000",0.464000,"0.464000",0.464000,"0.464000",0.464000,0.464000,"0.464000",40999,0,168.000000,"168",134.000000,"134","4000017",41000
4100005,1,0.448000,"0.448000",0.464000,"0.464000",0.484000,"0.484000",0.484000,"0.484000",0.470000,0.470000,"0.470000",40999,0,162.000000,"162",138.000000,"138","4000017",41000
4100006,1,0.508000,"0.508000",0.536000,"0.536000",0.516000,"0.516000",0.536000,"0.536000",0.524000,0.524000,"0.524000",40999,0,150.000000,"150",126.000000,"126","4000017",41000
4100007,1,0.480000,"0.480000",0.488000,"0.488000",0.484000,"0.484000",0.484000,"0.484000",0.484000,0.484000,"0.484000",40999,0,143.000000,"143",109.000000,"109","4000017",41000
4100008,1,0.456000,"0.456000",0.452000,"0.452000",0.572000,"0.572000",0.468000,"0.468000",0.487000,0.487000,"0.487000",40999,0,155.000000,"155",124.000000,"124","4000017",41000
4100009,1,0.724000,"0.724000",0.492000,"0.492000",0.728000,"0.728000",0.732000,"0.732000",0.669000,0.669000,"0.669000",40999,0,173.000000,"173",155.000000,"155","4000017",41000
4100010,1,0.492000,"0.492000",0.484000,"0.484000",0.516000,"0.516000",0.524000,"0.524000",0.504000,0.504000,"0.504000",40999,0,145.000000,"145",112.000000,"112","4000017",41000
4100011,1,0.532000,"0.532000",0.508000,"0.508000",0.496000,"0.496000",0.524000,"0.524000",0.515000,0.515000,"0.515000",40999,0,147.000000,"147",118.000000,"118","4000017",41000
4100012,1,0.488000,"0.488000",0.476000,"0.476000",0.472000,"0.472000",0.524000,"0.524000",0.490000,0.490000,"0.490000",40999,0,166.000000,"166",143.000000,"143","4000017",41000
4100013,1,0.508000,"0.508000",0.476000,"0.476000",0.512000,"0.512000",0.464000,"0.464000",0.490000,0.490000,"0.490000",40999,0,169.000000,"169",140.000000,"140","4000017",41000
4100014,1,0.508000,"0.508000",0.508000,"0.508000",0.504000,"0.504000",0.500000,"0.500000",0.505000,0.505000,"0.505000",40999,0,167.000000,"167",151.000000,"151","4000017",41000
4100015,1,0.528000,"0.528000",0.564000,"0.564000",0.528000,"0.528000",0.548000,"0.548000",0.542000,0.542000,"0.542000",40999,0,174.000000,"174",154.000000,"154","4000017",41000
4100016,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",40999,7,162.000000,"162",139.000000,"139","4000017",41000
4100017,1,0.536000,"0.536000",0.532000,"0.532000",0.532000,"0.532000",0.524000,"0.524000",0.531000,0.531000,"0.531000",40999,0,161.000000,"161",132.000000,"132","4000017",41000
4100018,1,0.500000,"0.500000",0.516000,"0.516000",0.516000,"0.516000",0.512000,"0.512000",0.511000,0.511000,"0.511000",40999,0,153.000000,"153",115.000000,"115","4000017",41000
4100019,1,0.460000,"0.460000",0.452000,"0.452000",0.456000,"0.456000",0.460000,"0.460000",0.457000,0.457000,"0.457000",40999,0,158.000000,"158",138.000000,"138","4000017",41000
4100020,1,0.488000,"0.488000",0.476000,"0.476000",0.456000,"0.456000",0.464000,"0.464000",0.471000,0.471000,"0.471000",40999,0,160.000000,"160",151.000000,"151","4000017",41000
4100021,1,1.000000,"1.000000",0.512000,"0.512000",1.000000,"1.000000",1.000000,"1.000000",0.878000,0.878000,"0.878000",40999,2,161.000000,"161",146.000000,"146","4000017",41000
4100022,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",40999,7,150.000000,"150",116.000000,"116","4000017",41000
4100023,1,0.492000,"0.492000",0.496000,"0.496000",0.500000,"0.500000",0.504000,"0.504000",0.498000,0.498000,"0.498000",40999,0,164.000000,"164",138.000000,"138","4000017",41000
4100024,1,0.504000,"0.504000",0.496000,"0.496000",0.508000,"0.508000",0.528000,"0.528000",0.509000,0.509000,"0.509000",40999,0,164.000000,"164",142.000000,"142","4000017",41000
4100025,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",40999,8,151.000000,"151",128.000000,"128","4000017",41000
4100026,1,0.544000,"0.544000",0.540000,"0.540000",0.548000,"0.548000",0.548000,"0.548000",0.545000,0.545000,"0.545000",40999,0,164.000000,"164",102.000000,"102","4000017",41000
4100027,1,0.516000,"0.516000",0.512000,"0.512000",0.516000,"0.516000",0.504000,"0.504000",0.512000,0.512000,"0.512000",40999,0,157.000000,"157",138.000000,"138","4000017",41000
4100028,1,0.492000,"0.492000",0.500000,"0.500000",0.492000,"0.492000",0.500000,"0.500000",0.496000,0.496000,"0.496000",40999,0,167.000000,"167",150.000000,"150","4000017",41000
4100029,1,0.532000,"0.532000",0.540000,"0.540000",0.528000,"0.528000",0.520000,"0.520000",0.530000,0.530000,"0.530000",40999,0,161.000000,"161",129.000000,"129","4000017",41000
4100030,1,0.448000,"0.448000",0.460000,"0.460000",0.552000,"0.552000",0.468000,"0.468000",0.482000,0.482000,"0.482000",40999,0,175.000000,"175",156.000000,"156","4000017",41000
4100031,1,0.992000,"0.992000",0.992000,"0.992000",0.844000,"0.844000",0.848000,"0.848000",0.919000,0.919000,"0.919000",40999,0,148.000000,"148",116.000000,"116","4000017",41000
4100032,1,0.472000,"0.472000",0.484000,"0.484000",0.468000,"0.468000",0.468000,"0.468000",0.473000,0.473000,"0.473000",40999,0,164.000000,"164",136.000000,"136","4000017",41000
4100033,1,0.456000,"0.456000",0.460000,"0.460000",0.556000,"0.556000",0.556000,"0.556000",0.507000,0.507000,"0.507000",40999,0,166.000000,"166",134.000000,"134","4000017",41000
4100034,1,0.552000,"0.552000",0.508000,"0.508000",0.516000,"0.516000",0.532000,"0.532000",0.527000,0.527000,"0.527000",40999,0,168.000000,"168",130.000000,"130","4000017",41000
4100035,1,1.000000,"1.000000",0.420000,"0.420000",0.412000,"0.412000",0.408000,"0.408000",0.560000,0.560000,"0.560000",40999,1,154.000000,"154",112.000000,"112","4000017",41000
4100036,1,0.504000,"0.504000",0.496000,"0.496000",0.484000,"0.484000",0.484000,"0.484000",0.492000,0.492000,"0.492000",40999,0,149.000000,"149",128.000000,"128","4000017",41000
