ID,alive,nBack_1_AVE,nBack_1_LIST,nBack_2_AVE,nBack_2_LIST,nBack_3_AVE,nBack_3_LIST,nBack_4_AVE,nBack_4_LIST,optimizeValue,score_AVE,score_LIST,timeOfBirth,tournament_numOffspring,wireCount_AVE,wireCount_LIST,wireCountActive_AVE,wireCountActive_LIST,snapshotAncestors_LIST,update
4300001,1,0.500000,"0.500000",0.488000,"0.488000",0.532000,"0.532000",0.484000,"0.484000",0.501000,0.501000,"0.501000",42999,0,158.000000,"158",133.000000,"133","4200049",43000
4300002,1,0.524000,"0.524000",0.516000,"0.516000",0.504000,"0.504000",0.504000,"0.504000",0.512000,0.512000,"0.512000",42999,0,158.000000,"158",142.000000,"142","4200049",43000
4300003,1,0.484000,"0.484000",0.492000,"0.492000",0.476000,"0.476000",0.476000,"0.476000",0.482000,0.482000,"0.482000",42999,0,158.000000,"158",142.000000,"142","4200049",43000
4300004,1,0.472000,"0.472000",0.480000,"0.480000",0.488000,"0.488000",0.492000,"0.492000",0.483000,0.483000,"0.483000",42999,0,161.000000,"161",134.000000,"134","4200049",43000
4300005,1,0.496000,"0.496000",0.496000,"0.496000",0.516000,"0.516000",0.504000,"0.504000",0.503000,0.503000,"0.503000",42999,0,153.000000,"153",142.000000,"142","4200049",43000
4300006,1,1.000000,"1.000000",1.000000,"1.000000",0.476000,"0.476000",0.496000,"0.496000",0.743000,0.743000,"0.743000",42999,1,155.000000,"155",130.000000,"130","4200049",43000
4300007,1,1.000000,"1.000000",0.580000,"0.580000",1.000000,"1.000000",1.000000,"1.000000",0.895000,0.895000,"0.895000",42999,2,156.000000,"156",139.000000,"139","4200049",43000
4300008,1,0.484000,"0.484000",0.488000,"0.488000",0.480000,"0.480000",0.480000,"0.480000",0.483000,0.483000,"0.483000",42999,0,153.000000,"153",118.000000,"118","4200049",43000
4300009,1,0.496000,"0.496000",0.496000,"0.496000",0.496000,"0.496000",0.484000,"0.484000",0.493000,0.493000,"0.493000",42999,0,159.000000,"159",125.000000,"125","4200049",43000
4300010,1,0.504000,"0.504000",0.492000,"0.492000",0.500000,"0.500000",0.496000,"0.496000",0.498000,0.498000,"0.498000",42999,0,159.000000,"159",144.000000,"144","4200049",43000
4300011,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",42999,8,155.000000,"155",121.000000,"121","4200049",43000
4300012,1,0.480000,"0.480000",0.492000,"0.492000",0.488000,"0.488000",0.500000,"0.500000",0.490000,0.490000,"0.490000",42999,0,147.000000,"147",114.000000,"114","4200049",43000
4300013,1,0.480000,"0.480000",0.464000,"0.464000",0.544000,"0.544000",0.460000,"0.460000",0.487000,0.487000,"0.487000",42999,0,157.000000,"157",137.000000,"137","4200049",43000
4300014,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",42999,11,155.000000,"155",142.000000,"142","4200049",43000
4300015,1,0.508000,"0.508000",0.492000,"0.492000",0.488000,"0.488000",0.480000,"0.480000",0.492000,0.492000,"0.492000",42999,0,149.000000,"149",108.000000,"108","4200049",43000
4300016,1,0.712000,"0.712000",0.500000,"0.500000",0.496000,"0.496000",0.496000,"0.496000",0.551000,0.551000,"0.551000",42999,0,157.000000,"157",120.000000,"120","4200049",43000
4300017,1,0.500000,"0.500000",0.508000,"0.508000",0.504000,"0.504000",0.512000,"0.512000",0.506000,0.506000,"0.506000",42999,0,150.000000,"150",120.000000,"120","4200049",43000
4300018,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",42999,4,158.000000,"158",139.000000,"139","4200049",43000
4300019,1,0.676000,"0.676000",0.476000,"0.476000",0.476000,"0.476000",0.488000,"0.488000",0.529000,0.529000,"0.529000",42999,1,160.000000,"160",146.000000,"146","4200049",43000
4300020,1,0.504000,"0.504000",0.524000,"0.524000",0.524000,"0.524000",0.484000,"0.484000",0.509000,0.509000,"0.509000",42999,0,156.000000,"156",129.000000,"129","4200049",43000
4300021,1,0.588000,"0.588000",0.484000,"0.484000",0.484000,"0.484000",0.572000,"0.572000",0.532000,0.532000,"0.532000",42999,0,154.000000,"154",104.000000,"104","4200049",43000
4300022,1,0.456000,"0.456000",0.468000,"0.468000",0.464000,"0.464000",0.464000,"0.464000",0.463000,0.463000,"0.463000",42999,0,151.000000,"151",119.000000,"119","4200049",43000
4300023,1,0.544000,"0.544000",0.536000,"0.536000",0.532000,"0.532000",0.540000,"0.540000",0.538000,0.538000,"0.538000",42999,0,162.000000,"162",143.000000,"143","4200049",43000
4300024,1,1.000000,"1.000000",0.480000,"0.480000",0.472000,"0.472000",0.484000,"0.484000",0.609000,0.609000,"0.609000",42999,0,161.000000,"161",135.000000,"135","4200049",43000
4300025,1,0.900000,"0.900000",0.908000,"0.908000",0.920000,"0.920000",0.924000,"0.924000",0.913000,0.913000,"0.913000",42999,2,159.000000,"159",144.000000,"144","4200049",43000
4300026,1,1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,"1.000000",1.000000,1.000000,"1.000000",42999,9,158.000000,"158",131.000000,"131","4200049",43000
4300027,1,0.916000,"0.916000",0.480000,"0.480000",0.936000,"0.936000",0.944000,"0.944000",0.819000,0.819000,"0.819000",42999,0,164.000000,"164",145.000000,"145","4200049",43000
