BRAIN_root::brainData,ID
"0010000000010000000000010000111110110000000001100000000000110000000000100000011100000000100000000100000000000000000100010010000000000000010001010000000000000001001000000000000000000000000000000100100000000001001000000000000000000101000010100000001110001000000000100001001010000010010000000100000000010000000000010101100000000000000000000001010001100100001000000000000100000001001001010000100000000000000010000000100000010000000001110000000100011000000010000000000000000000100010000000000000000010010000000000000001010000000100000011000000010100000000001000000000000000100000000000000100000011000000000100000000000000000110001010100011001000000010100000000010100000000000100001000000001000010000000001001000110101100000010011000000100000001000000001100100000000000000001110000000000010000100001010101000000000010000000001000000000000000010100000100000000000000000000001000000000000000010001000010000001000000000000000000010100000000000101000001000000001000000011010000000010101000000100000110000011101|31^23^11^28|942^975",900001
"0010000000010000000000010000111110110000000001100000000000110000000000100000011000001000100000000100000000000000000100010010000000000000010001010000000000000001001000000000000000000000000000000100100000000001001000000000000000000101000010100000001110001000000000100001000010000010010000000100000000010000000000010101100000000000000000000001010001100100001000000000000100000001001001010000100000000000000010000000100000010000000001110000000100011000000010000000000000000000100010000000000000000010010000000000000001010000000100000011000000010100000000001000000000000000100000000000000100000011000000000100000000000000000110001010100011001000000010000000000010100000000000100001000000001000010000000001001000110101100000010011000000100000001000000001100100000000000000001110000000000010000100001010101000000000010000000001000000000000000010100000100000000000000000000001000000000000000010001000010000001000000000000000000010100000000000101000001000000001000000011010000000010101000000100000110000011101|31^23^11^28|942^975",900002
"0010000000011010000010010000100110110000000001100000000010100000001000000000001100000001000100000000000000000000000101010010000000000000010001010000001000000000001100000000000000000000000000000100100100000000001000000000000000000101000010100000001110001000000000000000001010000000010000011100000000000000001000010100100000000000000000000001010001100100000000000010100000000000001000010000000000000000000010100000100001000000000000110000000100001000100010000000000000000000100000000000000000000000010001000000100001010010000000000011100000010100000000001000000000001000100000000000010100000011000010000100000000000000000010001010100011000010001010100000000010101000000001000001000000001000010000010000001000110000000000010011000000100000001000010001100000000100000000000010010100000000000100001010100000000000000000000001000000000000000010100000100000000001001000000001000000100000000010001000010000001000000000000000001000100000000000001000001000001001000000011010000001010101000000000000010000011101|31^23^11^28|942^975",900003
"0000000000010000000100010000110110110000000001100000000000110000000100000001001000000000000000000100000000000100000010110010000000000000010001010000000000000000000000000000000000000000000000000000100000000010000000000000000000000101000010100000011110001000000000100000001010000000000000000101000000000100001000000000110000010000100000000001010001100100000000010000000000000000001000010000000000001000000000000000010000010000000001110100000100000100000010000010000000010000100010100000000000000010010000000000000001010000000000000011100000010100000000001000000000000000100000000000010100000001000000000000000000000001010001000010000011000010000010010000000010100000000001000001000000001000011000000101000000010000001100010010000000000000000000000001110000000010000000011010001000000000000111101010000000000100000000000011001000000000000110000000100001000001000000000000000100000000000010001000011000001000000000000000000000101100000000001000001000001001000000011010000100010001000000000100000100000001|31^23^11^28|942^975",900004
"0000000000010010000000010000111110110000000001100000000000110000000000100000000100001000100000000100000000000000000100010010000000000000010001010000001000000000001000000000000000000000000000000100100100000000001000000000000000000101000010100000001110001000000000100001001010000110010000000100000001000000000000010101100000000000000000000001010001100100001000000000000100000001001000010000100000000000000010000000100000010000000001110000000100011010000010000000000000100000100010000000000010100010010000000000000001010000000100000011000001010100000000001000000000000000100000000000010100000011000000000100000000000000000110001010100011001000000010100000000010100000000000100001000000001000010000000001001000110001100000010011000000100000001000000001100100000100000000001110000000000000000100001010100000000000010000000001000000000000000010100000100000000000000000000000000000000000000010001000010000001000000000000000000000101000000000101000001000000001000000011010000000010101000100100000010000011101|31^23^11^28|942^975",900005
"0010000000010010000000010000110110011000100001100000000010011000000100100000000101000000000000100100000100000000000101010010000000000000000001010000000000000000001000000000000000000000100000000101100000000000000000000000000000000101000010100000001110001000000000100001001010000000010000000100000000000000000000000100100000000000000000000001010001100100001000000000000000000000001000010000000000000001000010000000010001000000000000110100000100001000000010000000000000000000100000000000000000000010110000100000000001010000000000000011100000010100000000001000000000000000100000000000011100000011000000000001000000000001000100000010110010000010000010100000000000000000010001100001000000001000010000000001000000000000000001000011000100000100000000010000100000000000000000001100000000000000000100001010100000000000010000000000001000000000000010000000100010000001000001000001000000000000000010000000010000001000000000000000000010101000000000001000001000011001000000010010000010010101000000000000010000011100|31^23^11^28|942^975",900006
"0010000000010010000100010000111110111100000001000010000000110010000100100000001000000000000000000000000100000000000000000010000000000000010001010000001000000001000000000000000000000000010000001000100000000000001000000000000000000001000010100000001110001001000000100000001010000000000000000100000100000000001000101000000000000000100000100001010001100000000000000000000000000010001000010100000000000000000000000000011001010000000101110000000100000001100010000000000000000010100000000000000110000000000000000000100000010000000000010011100100010100010000001000000100000000000000000000010100000001000000000110000000000011100101010000000010000000000010100000001010101000000001000000000000001100010000000001000000100000000000010001000000100000000000000101100100000100000000000110000000001000000100000010100000000000000000000010001001000000000010000000000010000001001000100011000100000000000010000000000001001000000000000000000000000000100000001000001010001001101000010010000000000101000100000100000000011000|31^23^11^28|942^975",900007
"0010000000010010000000010000110100111000100001100000000010011000000100100000000101000000000000100000000110000000000101010010000000000000010001010000000000000000001000000000000000000001000000000101100000000000000000000000000000000101000010100000001110001000000000100111001010000000010000000100000000000000000000000100100000000000000000000001010001100100001000000000000000000000001000010000000000000001000010000000010001000000000001110100000100001000000010000000000000000000100000000000000000000010110000100000000001010000000000000011100000010100000000001000000000000000100000000000010100000011000000000001000000000001000100000010110010000010000010100000000010000000010001100101000000001000010000000001000000000000000001000011000100100100000000010000100000000000000000001100000000000000000100001010100000000000010000000000001000000000000010000000100010000001000001000001000000000000000010000000000000001000000000000000000010101100000000001000001000001001000000011010000000010101000000000000010000011100|31^23^11^28|942^975",900008
"0000000000010010000000010000111110110000000001100000000000110000000000100000000100001000100000000100000000000000000100010010000000000000010001010000001000000000001000000000000000000000000000000100100100000000001000000000000000000101000010100000001110001000000000100001001010000110010000000100000001000000000000010101100000000100000000000001010001100100001000000000000100000001001000010000100000000000000010000000000000010000000001110000000100011010000010000000100000100000100010000000000010100010010000000000000001010000000100000011000000010100000000001000000000000000100000000000010100000011000000000100000000000000000110001010100011001000000010100000000010100000000000100001000000001000000000000001001000110000100000010011000000100000001000000001100100000000000000001110000000000000000100001010000000000000010010000001000000000000000010100000100000000000000000000001000000000000000110001000010000001000000000000000000000100000000000100000001000000001000000011010000000010101000100100000010000011101|31^23^11^28|942^975",900009
"0000000000010000000100010000110110110000000001100000000000110000000100000001001000000000000000000100000000000100000110010010000000000000010001010000000000000000000000000000000000000000000000000000100000000010000000000000000000000101000010100000001110001010000000100000001010000000000000000001000000000100001000000000010000010000100000000001010001100100000001010000000000000000001000010000000000001000000000000000010000010000000001110100000100000100000010000010000000010000000010100000000000000010010000000000000001010000000000001111100000010100010000001000000000000000100000000000010100000001000000000010000000000001010000000010000011000010000010010000000000000000000001000001000000001000011000000101000000010000001100010010000000000001000000000001110000000010000000011010001000000000000111101010000000000000000000000011001000000000000110000000100001000001000000000000000100000000000010000000011000001000000000000000000000101100000000001000001000001001000000001010000100010101000000000100000100000001|31^23^11^28|942^975",900010
