BRAIN_root::brainData,ID
"0010000100000000000100000001010101001000010000001000000001000100010001000000110000000000000100000001000000000001101100011000000100110000011000000101000000000000000000000000000010001001001000100000000000100000010000000001000010000000000010000000000000010001000000000000101000000010100000000000000100001010001000100001000000000000000000000100001000000000000000000100000000100000000100100100100001000010001000000000000000000001000000100000000000000101100101100010100000000000010000000101000000000010000000000000001000000000011000000010000000110000000000000000000000000010101000000000111000000100000000000000000001010000000110000000010001000000000000010010000000000000000001100100000000000101000000001010000100010110100000010000000010010000010000000000001000000010000000000000000010001010000001001011000001000001000000101000000000000010000010101001000000010001001100001001010000000100001000001000100100001001110100000000000010100001000000110000000000010001000001000001010110001010000001000100000000000000|36|947^920^985^904",4200021
"0000000100000000000000000001010000001000000000001000000001000100010001000000010000000100000100000001000000100001101100010000000100000000011000000101000000010000000011000000000010001001001001101011000000000010010000000001000010000001000010000000000000000001000000001000100000000010100000000000100100011100001100100001000000000000000000000100100000000101001000000000000000100000000100000100000000000000000000000000100000000001000100001000000000000101100100100010100000000000010000000001000000000010000000000000001001000000010000010000000000110000000000000000000000000000100000000000101000001000000000000010000001000000000010000000010001000000000000000010100000000000000000000100010000000101000000000100001100010110000000010000000010010000000100000010000000000000000000000001000010000010000101100011000100000001000000101000000000000010100000100001000000010000001100010001111000100000001000010000100100001000110000000000000110000001000000100000000100010001000000000001110010001010000001000100000100000000|36|947^920^985^904",4200022
"0010000100010000001100000001000000001000010000001000000001000100010001000000010000000000000101000001000000000000101100011000000100110000111000000101001000000000000001000100000010001001001000100000000000000010000010000001000000000000000010000000000000000001000000000000100000000010100000000000000100011100001000100001000000000000000000000100000000000101000000000000000000100010000100000000000001000010001000000000000000001000000001000000000000000101100110100000100000000000010000000101000000010010000000001000001000000000001000000010000000100000000000000000000000010010100000000000111000000100000000000010000001010000001110000000010001000000000010000010100000000000000000000100000000000101000000000000000100010110100000010000000010010000001000000000010000000000000000000000000010001010000011100011000101000001000000101000000001000010000000101000000000010000000100011001011000000000001000000000101100001000110100000000000110000001000001110000000000010001000001000001010010001010000001000100000000000000|36|947^920^985^904",4200023
"0010000100010000001100010001000000001000010000001000000001000100100001000000010000000000000001000001000000000000101100011000000100110000011000000101001000000000000001000100000010001101001000100000000000000010010010000001000000000000000010000000000000000001000000000010100000000010100000000000000100011100000010100001000000000000000000000100000000000100000000000000000000100000000100000100000001000010001000000000000000000011000001000000000000000101100110100010101000000100000000000001000000010010000000001000001000000000001010000010000000110000000000000000000000000010100000000000111001000100000000000010000001010000001110000000010001000000000010000000100000000000000001000100000000000101000000000000000100010110100000010000000000010000011000000000000000000000000000000000000010001010000001100011000101000001000000101000000000000010000000101000000000010000001100011001010000000000001000001000100100001000110101000000000110000001000000110001000000010001000001000001010010001010000001000100000000000000|36|947^920^985^904",4200024
"0010000100010000001100000001000000001000010000001000000001000100010001000000010000000000000101000001000000000000101100001000000100110000011000000101001000000000001101000100000010001001001000100000000000000010010010000001000000000000000010000000000000000001000000000000100000000010100000000000000100011000101000100001000000000000000000000100000000000101000000000000000000100010000100000100000001000010001000000000000000001000000000000000000000000101100110100000100000000000010000000101000000010010000000001000001000000000001000000010000000110000000000000000000000010010100000000000111000000100000000000010000001010000001110000000010001000000000010000010100000000000000001000100000000000101000000000000000100010010100000010000000010010000011000000000001000000000000000000000000010001010000001110011000101000001000000101000000000000010000000101000000000010000001100011001011000000000001000000000100100001000110100000000000110000001000001110010000000010001001001000001010010001010000001000100000000000000|36|947^920^985^904",4200025
"0010000100000000100100000001010101001000010000001000100001000100010001000000110000000000000100000001000000000001101100011000000100110000011000000101000000000000000000000000000010001001001000101000001000100000010000000001000010100000001010000000000000000001000000000010101000000010100000000000000100001000001000100001000000000000000000000000001000000000000000000000000000100000000100100100100001000010000000000000000000000001000000000000000000000101100100100010100000000000010000000101000000000010010000000000001000000010011000000010000000110000000000000000000000000010101000000000111000000100000000000000000001010000001110000000010011000000000010010010000000000000000001100100000000000101000000001010000100010110100000010000000010010000010000000000001000000000000000000000000010001010000001000011000001000001000000101000000000000010000010101001000000010001001100001001010000000000001000001000100100001001110100000000000110000001000000110000000000010001000001000001010110001010000001000100000000000000|36|947^920^985^904",4200026
"0010000100010000001100000001000000001000010000001000000001000100010001000000010000000000000101100001000000100000101100011000000100100000011000000101001000000000000001000100000010001001001000100000000000000010010011000001000000000000000010000000000000000001000000010000100000000010100000000000000100011100001000000001000000000000000000000100000000000000000000000000000000100010000100000100000001000010001000000000000000000001000001000000000000000101100110100010100010000100010000000101000000010010000000001000001000000000001000000010000000110000000000000000000000000000100000000000111000000100000000001010000001010000001110000000010001000000000110010010100000000000000001000100000000000101000000000001000100010110100000000000000010010000010000000000001000000000000000000000000010001010000001000011000101000001000000101001000000000010000000101000000000010000001000011001001000000000001000001000100100001000110100000000000110000001000001110010000000010001000011000001010010001010000001000100000000000000|36|947^920^985^904",4200027
"0010000100010000001100000001000000001000010000001000000001100100000001000000010000000000000001100001000000001000101100011000000100100000011000000101001000000000000001000100000010001001001000100000000000000010010010000001000000000000000010000000000000000001000000000000100000000010100000000000000100011100001000000001000000000000000000000100000000000001000000000000000000100010000100000100000001000010001000000000000000000001000001000000000000000100100100100010100010000000010000100101001000010010000000001000001000000000001000000010000000110000000000000000000000000000100000000000111000000100000000001010000000010000001110000000010001000000000010000000100100000000000001000100000000000101000000000000000100010110100000010000000010010000010000000000001000000000000000000000000010001010000001100001000101000001000000101000000000000010000000101000000000010000000100011001001000000000001000001000000100001000110100000000000110000001000001110010000000010001000101000001010010001010000101000100000000000000|36|947^920^985^904",4200028
"0010000100010001001100000001010000001000010000001000000001000100010001000000010000000000000100000001000000000001101100011000000000100000011000000101000100000000000000000000000010001001001000100000000000100000010000000001000010000000000010000000000000000101000000000010101000000010100000000000000100001010001000100001000000000000000000000100001000000000000000000001000000100000000100100100000001000010001000000000000000000001000000000000000000000101100100100010100000000000010000000101000000000010000000000000001000000000001000000000000000010000000010000000000000000010100000000000111000000100000000000000000001010000001110000000010000000000000010010000100000000000000001100100000100001101000000000010000100010110100000010000000010010000010000000000001000000000000000000000000010001010000001000011000001000001000000101000000000000010000010001001000000010000001100011001010000000000001000001000100100001001110100000000000110000001000000110000010000010001000001000001010110001010000001000100000000000000|36|947^920^985^904",4200029
"0010000100000000000100000001010101001000010000001000000000000100010001000000110000000000000100000001000000000001101100011000001100110001011000000101000000000000000000000000000010001001001000001000000000100000010000000001000000000000000010000000000000000001000000000010101000000010000000000000000100001010001000100001000000000000000000000100001000000000000000000000000000100000000100000100100001000010001000000000000000000001000000000000000000000101100100000010000000000000010000000101000000000010000000000000001000000000111000000010000000111000000000000000000000000010101000000000111000000100000000000000000001010000001010000000010001000000000010010010000000000000000001100100000000000101000000001010000100010110100000010000000010010000010000000000001000000000000000000000000010001010000001000011000001000001000000101000000000000010000010101001000000000001001100001001010000000000001000001000100100001001110100000000000110000001000000100000000000010001000001000001010110001010000001000100000000010000|36|947^920^985^904",4200030
